Brown Paper Sack,The Gentrys,spotify:track:2MUmxGWK06HQtnCklHgOio
Royston Rose - Mono,The Koobas,spotify:track:5yxtcUjqT2SS62LwDEypz0
"Rainy Day, Dream Away",Jimi Hendrix,spotify:track:0xwG5stzrc5B70TycPwenY
Goodbye Surprise - Remastered,The Turtles,spotify:track:4if49XJkCqJ3QWtwXzybWc
I Was Made To Love Her,Stevie Wonder,spotify:track:35Agv76BTtZGXlXutlfuYj
If You Want This Love,The West Coast Pop Art Experimental Band,spotify:track:4nUDhalC6mjrJgBmRojWM7
Fotheringay,Fairport Convention,spotify:track:21FmChQe4DdylUfu57DETQ
Bubble Gum,Brigitte Bardot,spotify:track:105aQVQNCAQLrADl7omDny
Violent Rose,The Electric Prunes,spotify:track:1QEjxcridZMeRf3nzhkMbL
Thoughts - 2006 Remaster,Vanilla Fudge,spotify:track:6uD5CIWfp84Ut4JYQQEK3A
Things Go Better With Coke,The Who,spotify:track:1A4iKYd7dvkaCATqXUbCnj
Peace Loving Man,Blossom Toes,spotify:track:0oiRBJN8GpiwGIC3BCIbTl
Strawberry Fields Forever - Remastered,The Beatles,spotify:track:5EuraV2jbqB15ihd3d2Hex
Terry,Twinkle,spotify:track:2RGoQSyesiUe15WN5ybjKw
Do You Want To Know A Secret - Remastered,The Beatles,spotify:track:5FBxWhG0nbBAF6lWgJFklM
Junior's Wailing [Single Version] - Remastered,Steamhammer,spotify:track:4OTgxI0oHy62U8WSXicUuU
"Gone, Gone, Gone",Tommy James & The Shondells,spotify:track:0gVA0uWvXwUv9qm8GDA4qk
You DonÃ¢ÂÂt Love Me,The Little Boy Blues,spotify:track:5NTPQicCkd6wieMyllIxTZ
Grazing In the Grass,The Friends Of Distinction,spotify:track:755QPhAgO1YSmbs8a9M9b9
"Sawdust and Spangles and Dreams - From Billy Rose's ""Jumbo""",Nelson Riddle,spotify:track:0JFcRpritRRfdasosx1NJJ
Dance of the Lovers,The Easybeats,spotify:track:32CLzeGyaYGNuEldTvTLD1
She's Got You - Single Version,Patsy Cline,spotify:track:4H1POasJbrLNaQirsIH29e
Pocketful of Rainbows,Elvis Presley,spotify:track:6lSGhstIFdvPT0mYbTM6Y2
Ain't That A Kick In The Head,Dean Martin,spotify:track:7fQ3PYTYdu208fQ3JEm2U7
Batman (Movin'),The Astronauts,spotify:track:3UroH3cjBom1Rk1YiAn5F1
Leaving Here - Mono Version,The High Numbers,spotify:track:0CT5ynzCh87hLoIMfjtcwu
I've Got Mine - Alternate Mix (Electronically Processed Stereo),Small Faces,spotify:track:0pVL8SVkijQJpIvqvLg8Wr
Sugar Lips,Al Hirt,spotify:track:69Gds325yLxpRANE5yfk26
Go Cat Go,Norma Jean,spotify:track:04qLkfv1GKBSDtzo6vulok
I Put A Spell On You,Nina Simone,spotify:track:6GLPIERsI3GVegT1EBBrZo
Drinking Muddy Water - Original Mono,The Yardbirds,spotify:track:63ygAnO87Gqb0wm3S8pj7R
Intruder,Big Brother & The Holding Company,spotify:track:5EqVOjDUSQwwFSSsoJE4oV
Job's Tears - 2010 Remaster,The Incredible String Band,spotify:track:6WcAq2fuuEilQuETUtYKAx
Trials of a City,Mighty Baby,spotify:track:5ceUJ1mURZANzWIMGEHdo1
European Son - Mono,The Velvet Underground,spotify:track:6niJqtlBNznc2L8QEkeNpZ
Ice In the Sun - Mono Version,Status Quo,spotify:track:4QjdrAVfANLivRHUpzcCzd
Class Day,The Super Stocks,spotify:track:3jitIV1jpnKUVq0B0Rou6J
All Is Loneliness,Big Brother & The Holding Company,spotify:track:5H20gnkPJR19BI1GR3t33v
Baby I Need Your Loving,Four Tops,spotify:track:57qGenoa1FlU7xRQBzyWcR
Suzie Q,Creedence Clearwater Revival,spotify:track:6Jp0GuFxAYbTdre1uUPgaB
As We Go Along,The Monkees,spotify:track:0n7K8jB7Lg4zCI4WBWxO0Q
Around The World,Brenda Lee,spotify:track:5n9GIGcU10BoXtHwW0B6QK
"Combination of the Two - Live at the Winterland Ballroom, San Francisco, CA - April 1968",Big Brother & The Holding Company,spotify:track:6ToWRJxf9XzjQKAAQSQrQT
The Shaman,The Human Beinz,spotify:track:2tuLDDDGylZeKBXrraDlL1
Here Comes The Sun - Remastered 2009,The Beatles,spotify:track:6dGnYIeXmHdcikdzNNDMm2
Relax - Early Rehearsal,The Who,spotify:track:0ki0jt52Viaq1dgoC7tOaV
Grant's Dimensions - Rudy Van Gelder Edition/24-Bit Mastering/2002 Digital Remaster,Grant Green,spotify:track:23T9vmTPAuzLkUQKqZoKJ4
"Memphis, Tennessee",The Monkees,spotify:track:0r8WKuLoYPi7hAiX4bKWXR
Your Mother Should Know - Remastered 2009,The Beatles,spotify:track:1dxbAIfCASqv6jix2R1Taj
Somethin Wrong,The Easybeats,spotify:track:0KztzgwDDlYahCy4jpUpqH
When You Walk In the Room - Mono Version,The Searchers,spotify:track:69W8SeNtFmZCU36BKcz538
Nine Times Blue - Demo Version; 2007 Remaster,The Monkees,spotify:track:25h8oquliadfsrIQM2MSKD
Chicken Wire Lady,The Blues Magoos,spotify:track:2eZ3hsUc7poPj1aAx5711C
Dedicated To The One I Love,The Mamas & The Papas,spotify:track:2S83vFC9Ju2Gm12fk1ap0c
You Don't Love Me,Kaleidoscope,spotify:track:16hyZTi4gssjHKkCDMTcvd
A Man Without Love,Engelbert Humperdinck,spotify:track:622sVNQCspoVUqFWzOYYcj
I'm Glad,Captain Beefheart & His Magic Band,spotify:track:6vcF9napv3kwm8rSb4O2si
All Day and All of the Night,The Kinks,spotify:track:5gmMa8nwzrkcPbHzSW3azN
"It's A Man's, Man's, Man's World",James Brown & The Famous Flames,spotify:track:3SQ9Hb9rfpJ02AWfaOPhpy
Surfer Dan - Remastered,The Turtles,spotify:track:3tW9lN0nUuvdCYIz4AXzYK
When the Ship Comes In,Bob Dylan,spotify:track:7hMhO4oenpVkVaM5bNkEbz
Itchycoo Park (Mono),Small Faces,spotify:track:5q1dqOJ4qBL6cMaOvL0mWR
Comment te dire adieu - It Hurts to Say Goodbye,FranÃÂ§oise Hardy,spotify:track:29GuoJqjg7aMxUmEO3XLEp
I Need Somebody,? & The Mysterians,spotify:track:63Vw8PU3ps8TAxDdHAUTMX
Boys And Girls Together,The Mamas & The Papas,spotify:track:5YCSqoEZs3S1srhLopWpi3
You Were Made For Me,Sam Cooke,spotify:track:4UD07NwOyei11knunWfPJB
Sex Machine,Sly & The Family Stone,spotify:track:5boXlAAauiYflhou3SrtsO
OgdensÃ¢ÂÂ Nut Gone Flake (Stereo),Small Faces,spotify:track:7CdjCr8kf9ryfAJm5b9qCa
Try Me on for Size,The Electric Prunes,spotify:track:5qD3pTJqLmu2jH7gbXYQIO
Jimmy Mack,Martha Reeves & The Vandellas,spotify:track:7N3UAu6FkwdBg9J7OONBBP
Crazy Town,Superfine Dandelion,spotify:track:1O6qXitGhIWy2YQrUJWuxQ
Why Don't You Take It,The Motions,spotify:track:4z14326K0WZkUx0THbFU35
Big Time Operator,Tommy James & The Shondells,spotify:track:1lWq4ZkouRYGbD9jbXhjwg
I Remember When I Loved Her,The Zombies,spotify:track:5QBSc4yNurtL9SZx22lENb
Tell Me Why - Remastered 2009,The Beatles,spotify:track:0Wzp5pWPoX0YoBg002HXL9
Trem Fantasma,Os Mutantes,spotify:track:4ZudvHK2Ze0rrsGC3dbOCp
Misirlou,The Astronauts,spotify:track:1wRxhFxzqqYCfTR7byfPwe
Strawberry Fields Forever - Take 1,The Beatles,spotify:track:5jPBdSu6u9ZDpKFVseumIv
Trouble,The Music Machine,spotify:track:3K5vWTX6vc4V9nWuisfN4h
A Change Is Gonna Come,Sam Cooke,spotify:track:5CjXQuNWHrLiZGbeF1sZhq
Take the Time Be Yourself,Bram Rigg Set,spotify:track:1M9FHUaoH84r5nupBWWzjL
With A Little Help From My Friends - Take 1 / False Start And Take 2 / Instrumental,The Beatles,spotify:track:2gtkJPo38dvr8JqOd1hExc
A Little Girl Lost,David Axelrod,spotify:track:6jMwCGOFwLXwpfsuF8sf50
Roses Are Red (My Love) - Single Version,Bobby Vinton,spotify:track:0qYok0f8O5DE8yJSo146dn
The Big Bright Green Pleasure Machine - Alternate Version,Simon & Garfunkel,spotify:track:2bZmbz5M9EoSoVz3L060PL
If We Only Had The Time (From Shell Shock),The Turtles,spotify:track:3K03S09h2oJ3Xbh85gIb59
Milk Cow Blues,The Kinks,spotify:track:1VCOdq1lwoRjj2BLj1135c
Steve's Song,The Blues Project,spotify:track:41M2xmX8Y9tTDbPgpA3XVG
I'll Keep It With Mine,Nico,spotify:track:25ALtWAFTsyTa1phFSKYWw
One Note Samba (Samba de Uma Nota So),AntÃÂ´nio Carlos Jobim,spotify:track:54DTLQMjyF60TY8b4jkKRa
"Take The ""A"" Train",Jimmy McGriff,spotify:track:5zR549HzdcrTdPEZrnsWpb
Under My Thumb,The Rolling Stones,spotify:track:3E8gEvhLia6w9lQv3hfxzM
She's Leaving Home - Take 6 / Instrumental,The Beatles,spotify:track:2rMTGwQjnOcK6T0yBCDmvb
You Send Me,Sam Cooke,spotify:track:0BFEyqJ9DJXS7gKg0Kj46R
Train for Tomorrow,The Electric Prunes,spotify:track:7vPCW7LDxaYYthNT8J0Tqb
Good Golly Miss Molly,The Sonics,spotify:track:5aUMz88bQDj3iq9pvg9Ojy
Let's Fall In Love,Dinah Washington,spotify:track:7HHpc4o6kEWPfEUUULzzTl
The House of the Rising Sun,Nina Simone,spotify:track:5UWarhuxo8QZ5lKxgw5EHv
All Along the Watchtower,TrÃÂ¤d GrÃÂ¤s Och Stenar,spotify:track:66RghPDgkpGnFLlfTHba2k
Bracelets Of Fingers,The Pretty Things,spotify:track:6g6N0HhdpogmRlBKNMZJFj
It's All over Now,The Uniques,spotify:track:1wR36iigVw6DQpi916OqWU
Will You Love Me Tomorrow,The Shirelles,spotify:track:7oYTK1C0Clz6MZiETSpFTS
You're Dead,Norma Tanega,spotify:track:72T5smavl9ONfOwI0gHf1A
Sun Sing,Rainbow Ffolly,spotify:track:5wbhTX64LGN5MdGD2M4dIN
I Wonder What She's Doing Tonight?,Tommy Boyce,spotify:track:2ChhVPnOgHV9UmSuso8S9v
Julia - Remastered 2009,The Beatles,spotify:track:5FnpXVgDOk2sLT58qM22Of
The Face,The Human Beinz,spotify:track:21nI1R9Wx4E73cdZhCMNtx
At a Point Between Fate and Destiny,Mighty Baby,spotify:track:2ZKOFAKWGNjdVnZAETK6YB
Someone's Coming,The Who,spotify:track:5XL1WzdHGLiD0ZkQMiOHGz
River Deep Mountain High,The Easybeats,spotify:track:7I4vO8e3XwM3dPqLw9cVrN
One Mint Julep,The Astronauts,spotify:track:3lCstaA6FzB1WoBdlzm6Ka
Sloop John B,Dick Dale and his Del-Tones,spotify:track:3woVfbrJzSomT27oJy4pBE
Moby Dick,Led Zeppelin,spotify:track:0h2gzJQBt6duqZD6kWiz4s
All Of Me,Ella Fitzgerald,spotify:track:45M2ZHKSg80nrGlOLKjXpN
What's Happening,Les Variations,spotify:track:773goUFMr5z10es8KiXJtC
You Can't Fight It,The Motions,spotify:track:0uOp83BLUhT6aTsA8qbeRy
Jumpin' Jack Flash,The Rolling Stones,spotify:track:4OmMoaZseskPwpzaM6RhRf
John And Julie,The Turtles,spotify:track:3w6StahnGTFcU92PIOW0n0
Elisa,Serge Gainsbourg,spotify:track:6VNfcLAKRw7GTat8DbYQ8W
Puppet On A String,Sandie Shaw,spotify:track:4mCtyfgMVY6yYlqtX3ekLm
Kuk,The Astronauts,spotify:track:4kp1QxRKxOggVxgzCXOMS7
"Venus In Furs - Live At Valleydale Ballroom, Columbus, Ohio / 1966",The Velvet Underground,spotify:track:3IivW1LZW9RVDZnyAIatnN
Oogum Boogum Song,Brenton Wood,spotify:track:4WiGGTl7Kt5vnjQHqwLJy1
No. 1 Green Street - Rudy Van Gelder Edition/24-Bit Mastering/2002 Digital Remaster,Grant Green,spotify:track:0dqWEPknT78MzavS5S4dLL
Turn Around,Sonny & Cher,spotify:track:0pBDonCxb31gm1HzyWgNsL
Yellow Rose,The Blues Magoos,spotify:track:0uZixA7BOnIupwkDQbCaGj
No Fun,The Stooges,spotify:track:6JCkmtc6yDQW1w8jh3iFqS
That Lucky Old Sun,Aretha Franklin,spotify:track:41NXNRf9apeZoNL5H0MZW3
And I Love Her - Remastered,The Beatles,spotify:track:6mZGglJLWfy0HxbVL8i9BL
Shake - Alternate Version,Small Faces,spotify:track:6RGNpNwhUNKLJyhHtbsYKE
Once Upon A Time,Marvin Gaye,spotify:track:60SBAA4eKlVzQ8GtC9MPuY
Lemmon Princess,The Leaves,spotify:track:54F9i538zWxi0QJHezuH5K
Open My Eyes,Nazz,spotify:track:00NSbZMRibtybnTW7p4Bkp
Strawberry Fields Forever - Take 7,The Beatles,spotify:track:1iVxrYU3WOaApanKwWcQqB
She Said Alright,The Easybeats,spotify:track:1vW8BcrjjNPPJ1cVPlVNms
Coo Coo,Big Brother & The Holding Company,spotify:track:5PEEbmeELam84bKuxZsoj2
Evil Ways,Santana,spotify:track:5HcbYwlwPTu0fT5iuFsqWn
The Girls I Could've Had - Demo / 2016 Mix,The Who,spotify:track:5YDm2bFT3ozwARmQlGqUKA
Mary Jane - Remastered Version,The Everly Brothers,spotify:track:3t8zGk3PtDPPtz03GE5Iqs
The Last Day Of May,The Easybeats,spotify:track:1aKbbwzibEtznXqIaYJyKg
Shadows Breaking Over My Head,The Left Banke,spotify:track:2qQAF1KH4ksro4GOUzLKos
'Round About Midnight - Rudy Van Gelder Edition/24-Bit Mastering/2002 Digital Remaster,Grant Green,spotify:track:6X6q7Wjn40xaYnIhXzMlOh
1969,The Stooges,spotify:track:4nJCE9UyNXhuERnSX8YgSH
My Whole World Ended (The Moment You Left Me),David Ruffin,spotify:track:5q8E984KxyPZS1eAwtdtBQ
Mr. Soul,Buffalo Springfield,spotify:track:61rip5C5qSIA3lx68nxW2g
Do You Want To Know A Secret - Remastered 2009,The Beatles,spotify:track:7Aobt67JnaF7qN8jCCKvHq
I Wanna Be Free - 2006 Remaster Original Stereo Version,The Monkees,spotify:track:0fUjRQXfM3ZKUZwe2Tc9Qc
Sometimes I Think About,The Blues Magoos,spotify:track:23fMtT3EAnM0Nz3DPVKQxL
Surfin' Safari - Remastered,The Beach Boys,spotify:track:4kIYRtgbZyPzAWSFLdlajW
What's A Matter Baby,Small Faces,spotify:track:10qda4WmGI3tmQz7OaWhYz
My Sin Is My Pride,The Astronauts,spotify:track:1WYFj3t8RgnoIoCVk1QyD5
Within You Without You - George Coaching The Musicians,The Beatles,spotify:track:1cUJR1XBKqBUKCsc9J1DRH
Turns To Dust,Andromeda,spotify:track:7xxhNPswpOoUgBKjjf6K43
Our Drummer Always Plays in the Nude,The West Coast Pop Art Experimental Band,spotify:track:7iyjxlG8o4D2zvPCKOydQY
Scarborough Fair / Canticle - Interlude,Simon & Garfunkel,spotify:track:1AGHLozF3xq1h8qBXhL6cb
Wine & Violet,The Lemon Pipers,spotify:track:3Tllk3V8thZo2i9i1RVdwM
Mr. Tambourine Man,The Byrds,spotify:track:2S8TXMoinwzM1Opht2bK5g
Buzz Saw - Remastered,The Turtles,spotify:track:1rRxuZg9tePFV0kYbhgqfv
Lovely Rita,The Beatles,spotify:track:1gJy93yw33uBxRHZn8KFEz
Get Ready,The Temptations,spotify:track:5tUqZORd7xHx4RuH8DZlgs
Embryonic Journey,Jefferson Airplane,spotify:track:2zbGXr2XCcRR40R7ymEENc
Love Child,Diana Ross & The Supremes,spotify:track:7oX8MJu78ZCGAC8lADvIWf
Magic In The Air,The Attack,spotify:track:2saFjfSPpmHpq9yDQvwwp0
Let Me Be - Remastered,The Turtles,spotify:track:49wirUm1uZrYC6wJGxGTrb
Werewolf And Witchbreath,The Troll,spotify:track:7w5tIBKzUgFQClCMgJUvsK
Shades of Gray,The Monkees,spotify:track:6VdBda0YHsQgQ3WZP3grud
Shifting Sands,The West Coast Pop Art Experimental Band,spotify:track:3jBCwLVmmfKUH8321N4bdd
Matthew & Son - Stereo Version,Yusuf / Cat Stevens,spotify:track:7iBZcvmanxnk6jlMdStrnT
Crackin' Up / Venus In Furs - The Factory Rehearsal,The Velvet Underground,spotify:track:1P4Bo518iSHE7yLCxN82Io
"The Good, The Bad and the Ugly (From ""The Good, the Bad and the Ugly"") - Titles",Ennio Morricone,spotify:track:2IJJszwGK4NWmh3bNK6CPD
Come On Children - Alternate Version,Small Faces,spotify:track:34YbeU7gROLWYafIJyVuKr
The Last Thing I Remember,The Turtles,spotify:track:7KOo6vHEo51qe0pMELKomD
Be-Bop-A-Lu-La,The Astronauts,spotify:track:0SFuEwoSs84LvJLlqnySy8
(Theme from) A Summer Place,Skeeter Davis,spotify:track:5IHQnmutMZ3wSYTFBdQ1Zk
Baron Saturday,The Pretty Things,spotify:track:3QEBGTHfsIw3OC81dYikCH
Back In The U.S.S.R. - Remastered 2009,The Beatles,spotify:track:0j3p1p06deJ7f9xmJ9yG22
(Ain't That) Good News,Sam Cooke,spotify:track:4nhV8xaTXIiPz9ZdPqKNSO
Elevator Man - Single Version,Kaleidoscope,spotify:track:0v4YuFhBzcVvWGEmJp0OKW
Hats off to Larry,Del Shannon,spotify:track:2IuaOvZRkhNHnYfqBaZFPO
Walkin' the Dog,The Sonics,spotify:track:71LtkPQpOkrLNF9I2qOJUD
Only Those in Love,The Astronauts,spotify:track:7J67R0HPMGZ6C3WNhLCYlU
Twistin' the Night Away,Sam Cooke,spotify:track:7FS541dJh3iQAEXEZoDhE6
I Can See For Miles - Incl. Charles Atlas Commercial,The Who,spotify:track:60XhKk8WC7RALPENkgSfT5
Summer Is Over,Dusty Springfield,spotify:track:5IwskqtjhYkQQ1XZn5Dfal
See You in September,The Happenings,spotify:track:2caREKLVN9PbVDe9EPzXjc
I Had Too Much to Dream (Last Night),The Electric Prunes,spotify:track:5YgCmkSdGukXqK3fJlX4pQ
Don't Turn Away (From Me),Collectors,spotify:track:5IvnDBMRHMNYJFP0AQpeYv
Stubborn Kind of Fellow,The McCoys,spotify:track:0sYSGgMpD6loRAzPuur1Bw
"I Get Around - Live In Sacramento, CA/1964",Jan & Dean,spotify:track:36fw0s6PxWeuS40BCIgPwR
Naima,John Coltrane,spotify:track:1hVRTl4yhWmGW7ImZoO22e
Love Me Do - Remastered 2009,The Beatles,spotify:track:3VbGCXWRiouAq8VyMYN2MI
"Work Me, Lord",Janis Joplin,spotify:track:6WkRgfJb0t4WIWqadhxJj1
For Pete's Sake - Master Backing Track,The Monkees,spotify:track:4JC2EjeeaIey5nAiVNMLTS
A Legal Matter - Mono Version,The Who,spotify:track:6SLPIKMCawygI7i1TCjCSa
E Too D,Small Faces,spotify:track:6jBIerCemcrOjprACqGdGt
Trust In Me - Single Version,Etta James,spotify:track:64o2ZoFrCnLN8rCRIP0K1I
Keep Loose,Jimmy McGriff,spotify:track:7tBRujyd7lmM9O0xaZZGwE
Time Of The Season (Mono Version),The Zombies,spotify:track:5AJrhrwz4oSZX2PwwV4qrN
Come On In,The Music Machine,spotify:track:4w1duaRGAtRoEEarGf1wLV
Sgt Pepper's Lonely Hearts Club Band (Reprise),The Beatles,spotify:track:4OGiLMxOysu4J7wqr10nMR
Gimme Shelter,The Rolling Stones,spotify:track:6H3kDe7CGoWYBabAeVWGiD
The Crystal Ship,The Doors,spotify:track:0gWvVB4bGvADocoPMEDy3K
Everybody Needs Somebody To Love - Mono / Remastered / Version 2,The Rolling Stones,spotify:track:1YGKUHiQ6b4I6yXy9IONc5
Birthday - Remastered 2009,The Beatles,spotify:track:1ABegtCPBMMJaMpfDyATjE
Azathoth,Arzachel,spotify:track:7yRDGwwUZvvp867ppxfsj4
Torquay,The Challengers,spotify:track:7nkER8EOjIQ0ums8h6p9gg
Every Little Thing - Remastered 2009,The Beatles,spotify:track:2CxTkdvhDuQrOxl8xXkdJS
"Baby, I Want You",The Blues Magoos,spotify:track:2vyvaW343iOAXEuJoi0IBm
Peter Gunn's Gun - 2007 Remaster,The Monkees,spotify:track:1ZyUc5DQUKRx9xoXilFb30
Sit With The Guru,Strawberry Alarm Clock,spotify:track:0PKrvcdX7PUgubTWn0LDQ7
Let Me In - Stereo Version,The Sorrows,spotify:track:5YJlMpsX54hU7hK5SyVqyf
Come And See Her,The Easybeats,spotify:track:6bwY6k7dIZC14p8a3ELlGd
The Smile,David Axelrod,spotify:track:5T5MLNxEg0h6lGWRetSZPV
Suspicious Minds,Elvis Presley,spotify:track:1OtWwtGFPXVhdAVKZHwrNF
A Minha Menina,Os Mutantes,spotify:track:3CCGsOj2efotChiScMmCWg
Too Late To Be Sorry,The Motions,spotify:track:0XxlTYmFdzoLwJLXVCTGke
Under My Thumb,The Rolling Stones,spotify:track:5lmGgOaixbwKHtpTzjJoqx
Who'll Read the Will,The Weeds,spotify:track:3kxDXvE6yKZNJAlmiYVhMD
I'm A Man - Alternate Version / New Mix,The Who,spotify:track:1lft7jZ7Egv8lbBk0Kynua
San Francisco Girls,Fever Tree,spotify:track:2Vio9orJlk0fFVeO0CgtA6
Move Out Little Mustang,Jan & Dean,spotify:track:1ndCYDx5qJi9eEJBY4raQn
It's Not True - Stereo Version,The Who,spotify:track:48DsNbafkIC8waIL7dT2iy
Devil In Her Heart - Remastered,The Beatles,spotify:track:3Ltllbv2lbpjP6NgPMNiFg
Can't Get Enough of Your Love (Single Version),The Yellow Balloon,spotify:track:5XNYtVIV0w7AH5iq3pdeMN
I'm Waiting For The Man - Mono,The Velvet Underground,spotify:track:7nxy0WF1ehwCnN2A3k4J77
Suppose They Give a War and No One Comes,The West Coast Pop Art Experimental Band,spotify:track:5VpTPaPm2uZEu5BJQXRVdV
Toys Are Made for Children,The Uniques,spotify:track:2LrC83fPAqh3mZIpkQLN2t
I Can Never Say,The Pretty Things,spotify:track:15tsbEqqcKiKjgK2R2fVI1
My Rainbow Life,The Freak Scene,spotify:track:21CmA9auZceWhW2Ijtjk2T
River Deep - Mountain High,Ike & Tina Turner,spotify:track:0jD2fciT9UXDg4klWSIy5c
Green River,Creedence Clearwater Revival,spotify:track:1ckVrHITCk9BMhyRcsnblh
Early Morning Blues And Greens - 2007 Remastered Version,The Monkees,spotify:track:4QmNKagfWbpv8hPYHFtvWk
If the Night,Kaleidoscope,spotify:track:5aawI9OWgy5WAOGgrkzrvZ
I Get Around (Mono),The Beach Boys,spotify:track:3v9xlH6BpmRbqL7hgNJhfT
Spanish Castle Magic,Jimi Hendrix,spotify:track:2KFE98Iw0X23sf4vJYcbLH
Fever,The Monkees,spotify:track:1h9LdvoX0O8ovX8dGkiwLm
Night Time Is the Right Time,The Sonics,spotify:track:3wsmhCiiM9aguzpCNtfPiA
Such a Shame,The Kinks,spotify:track:0sHNYAEG01I31zHXuQXhwz
Soul Sacrifice,Santana,spotify:track:5iZcqTxUmsIjxBNek2Yzxt
Mr. Man,The Lyrics,spotify:track:0Fas9aJDFcgF6BtHvt5AzT
Stop,The Weeds,spotify:track:1YKsHVQw34ScL7WwpZFMmf
"It's All over Now, Baby Blue",Bob Dylan,spotify:track:4EgKcG7aswxVfQEqa3dl8S
Travelling Lady,Manfred Mann Chapter Three,spotify:track:5hINNgPckIg0iI6yBjFGlR
Brother Love's Traveling Salvation Show,Neil Diamond,spotify:track:7KG8yix99p2F0KZk6lw5W0
Hungry,Paul Revere & The Raiders,spotify:track:4z4Yncn9OTayQdaln0tvXF
Like It Is - Remastered,Yusef Lateef,spotify:track:23sTGlQIsLtAxKuJj9Ekrd
Midnight To Six Man,The Pretty Things,spotify:track:7bsZBxsGS4heYtLdBXj6VU
All of Your Toys - Mono Mix; 2007 Remaster,The Monkees,spotify:track:74y6cg49UAskAgxFcjqz4V
The People In Me,The Music Machine,spotify:track:4N8nCsjsEy0moFss7ke1Ca
La liberta costa cara,The Sorrows,spotify:track:5lz3vRGmjOFuOj6APNPcFi
"Sunrise, Sunset",Ray Conniff,spotify:track:0cno3VNUkYXXd1iW0P566Y
Ten Cents A Dance,Anita O'Day,spotify:track:6uawJMhSxpHA7tvf6JjLZq
Crawfish Song,The Astronauts,spotify:track:5xRuE4CxYGb8o4bYDzliDd
Bonnie And Clyde,Brigitte Bardot,spotify:track:1XUfolhiz741z4WLMOnKmd
Charlie,The Deviants,spotify:track:5k6Xw30Wk4WvbpcackXwZ3
5 a.m.,The Millennium,spotify:track:3Bw3v2zZpA1Yo5faG2WYON
House Of The Rising Sun,The Animals,spotify:track:61Q9oJNd9hJQFhSDh6Qlap
Happy Together - Live,Vikki Carr,spotify:track:6yvdQadmmzNjym2QGnnpvV
Yellow Submarine - Remastered 2009,The Beatles,spotify:track:3oEo8Pqm5IAi8wQfCI5BpR
Green Onions,Booker T. & the M.G.'s,spotify:track:4fQMGlCawbTkH9yPPZ49kP
Sweet Little Rock & Roller,The Astronauts,spotify:track:3Ap8M57KZiWQcXbONGBd1D
That Man,Small Faces,spotify:track:0EqvRhEhY9QKJmiIbTgA4w
Anyone Who Had A Heart - Mono,Dusty Springfield,spotify:track:1AGKbH4Jqt1OPx4O7VNrHU
One Way Glass,Manfred Mann Chapter Three,spotify:track:2E0tlDzvMmszn2DGNmFZDF
The Witch,The Sonics,spotify:track:5IY9xXJ6E1o6IiCc8ykDro
The Owl - Remastered,The Turtles,spotify:track:5qMH1NmsVvZ9JHUtOXBZDZ
Somebody Groovy - Single Version,The Mamas & The Papas,spotify:track:3BgeFyh77wCCAUPlC68YLY
Color Dreams - Stereo,The Deep,spotify:track:6QgcE9coz9TFgXIH9CIQQH
I Wouldn't Buy a Used Car from Him,Norma Jean,spotify:track:1GZnoHAJgVbOL5wjZfS0pd
Ticket To Ride,Carpenters,spotify:track:6AMbHhzNCykqUWCM7g1Qv1
When I Get Home - Remastered 2009,The Beatles,spotify:track:4oLQ0imA5IDtNUnhFKY87q
See Saw,The Easybeats,spotify:track:5c94WfJPoNZ2ZQDrDsmYMc
The Winter is Cold,Wendy & Bonnie,spotify:track:365KOYcOUKT7ZqSaNUkU6r
Hot Dusty Roads,Buffalo Springfield,spotify:track:1wOxTOMMt5N7aw6kBItAW4
Strange Brew,Cream,spotify:track:0T2gGDu1fAUMblR6WtjqB1
One More Headache,The Paul Butterfield Blues Band,spotify:track:5uPWILEXkNy1D0MJzi9ByM
The Night Before - Remastered 2009,The Beatles,spotify:track:5xcfepnz1v7a83T8An9gjw
She's Not There - Stereo Version,The Zombies,spotify:track:1dd7502pLYNTmiWUPrr5zr
You Can't Tie a Mustang Down - Stereo Remix,The Monkees,spotify:track:3tLi01njL6nYUkza7J9ffG
Beloved Melancholy,Walter Wanderley,spotify:track:3oqfgnlwt3OZlAmgpuR9Dl
Fool for You,The Impressions,spotify:track:7ppPgpUdNPbHhuqYwN2SXu
Revenge - Mono Mix,The Kinks,spotify:track:0RkoRCjL03PzTrCwkfmafR
Tired of Waiting,The Flock,spotify:track:7LRCa7AF5ZLspbBKIyp8pS
Thank You - 2012 Remaster,Led Zeppelin,spotify:track:4pW4DF1119GLHiuWE7Jcb4
Cissy Strut,The Meters,spotify:track:0WSlOSMLJWoWUpWci9nnRb
Mirage,Tommy James & The Shondells,spotify:track:28DmQwWGctmkziuiuTqFBK
Cigarettes and Coffee,Otis Redding,spotify:track:4PFiLGx8jAzcAJxwPLUeZ9
Brief Candles (Mono Version),The Zombies,spotify:track:161v0jFYUhailRdBDpme42
The Twist,Chubby Checker,spotify:track:4R6LAvOMzkTJcFbSOmmEh9
Christmas (Baby Please Come Home),Darlene Love,spotify:track:46pF1zFimM582ss1PrMy68
Made My Bed (gonna Lie In It),The Easybeats,spotify:track:5t73mGojwyxrFZOQMRJeIj
There You Sit Lonely - Remastered,The Turtles,spotify:track:2sNmMVRrUJzdbE5rEX1CIC
