Outside Woman,Bloodstone
I Can't Stand To See You Cry,Smokey Robinson & The Miracles
Tell Her Love Has Felt The Need,Eddie Kendricks
Black Hands White Cotton,The Caboose
Slippin' Away,Jean Shepard
Do You Love What You Feel,Rufus And Chaka Khan
Free Man,South Shore Commission
Greenwood Mississippi,Little Richard
Save Your Sugar For Me,Tony Joe White
Keep It In The Family,Leon Haywood
If Not For You,Olivia Newton-John
Chico And The Man,Jose Feliciano
Shame,"Evelyn ""Champagne"" King"
Makin' The Best Of A Bad Situation,Dick Feller
Deeper Than The Night,Olivia Newton-John
Tell Mama,Savoy Brown
Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends,The Beatles
In The Navy,Village People
Walk On,Neil Young
When I Fall In Love/Are You Lonesome Tonight,Donny Osmond
Born To Wander,Rare Earth
Street Life,The Crusaders
Can't Keep A Good Man Down,Eddie Money
(Baby) Turn On To Me,The Impressions
She Came In Through The Bathroom Window,Joe Cocker
Last Time I Saw Him,Diana Ross
You Made Me Believe In Magic,Bay City Rollers
She Loves To Be In Love,Charlie
Playground In My Mind,Clint Holmes
Lonely Wind,Kansas
Pardon Me Sir,Joe Cocker
We Are The Champions,Queen
Magical Mystery Tour,Ambrosia
For Ladies Only,Steppenwolf
Voulez-Vous,ABBA
Help The Poor,B.B. King
Sorry Seems To Be The Hardest Word,Elton John
We've Got Love,Peaches & Herb
Old Home Filler-up An' Keep On-a-truckin' Cafe,C.W. McCall
Must Be Love,The James Gang
White Lies,Grin
Cinderella,Firefall
Nevertheless/Louisiana Lou And Three Card Monty John,The Allman Brothers Band
I Saw The Light,Todd Rundgren
Kid Stuff,Barbara Fairchild
Winter World Of Love,Engelbert Humperdinck
I'll Never Love This Way Again,Dionne Warwick
Wheel In The Sky,Journey
Day By Day (Every Minute of The Hour),The Continental 4
El Condor Pasa (If I Could),Simon & Garfunkel
Before My Heart Finds Out,Gene Cotton
Where You Lead,Barbra Streisand
You Wear It Well,Rod Stewart
Love Of My Life,Gino Vannelli
Let Us Love,Bill Withers
Francene,ZZ Top
Georgia Rhythm,Atlanta Rhythm Section
Disco Inferno,The Trammps
If I Were Your Woman,Gladys Knight And The Pips
Music In My Bones,Joe Simon
Life Is A Rock (But The Radio Rolled Me),Reunion
Star Wars (Main Title),London Symphony Orchestra
Bell Bottom Blues,Derek & The Dominos
Put Your Hands Together,The O'Jays
Hold On,Sons Of Champlin
So Sad The Song,Gladys Knight And The Pips
I'm Your Boogie Man,KC And The Sunshine Band
Houston (I'm Comin' To See You),Glen Campbell
Mendelssohn's 4th (Second Movement),Apollo 100
Caledonia,Robin Trower
Tulsa,Billy Joe Royal
Black Magic Woman,Santana
Hello It's Me,Nazz
Who Needs Ya,Steppenwolf
I Thought It Took A Little Time (But Today I Fell In Love),Diana Ross
Money,The Flying Lizards
MIND GAMES,John Lennon
Can You Feel It,Bobby Goldsboro
"Daddy Could Swear, I Declare",Gladys Knight And The Pips
Slowdown,John Miles
My Sweet Lord,Billy Preston
Heard It In A Love Song,The Marshall Tucker Band
Whole Lotta Love,C.C.S.
My Marie,Engelbert Humperdinck
Ten To Eight,David Castle
Eighteen,Alice Cooper
Willie And The Hand Jive,Eric Clapton
Do It In The Name Of Love,Ben E. King
Lotta Love,Nicolette Larson
Summer Side Of Life,Gordon Lightfoot
Friendship Train,Gladys Knight And The Pips
Whatever Happened To Benny Santini?,Chris Rea
Don't Think....Feel,Neil Diamond
Touch And Go,"Ecstasy, Passion & Pain Featuring Barbara Roy"
And I Love You So,Perry Como
Wildflower,Skylark
Third Rate Romance,Amazing Rhythm Aces
Albert Flasher/Broken,The Guess Who
Somewhere In The Night,Barry Manilow
I Don't Want To Talk About It,Rod Stewart
There's A Kind Of Hush (All Over The World),Carpenters
What Is Life,George Harrison
Don't Make Me Pay For His Mistakes,Z.Z. Hill
Getaway,"Earth, Wind & Fire"
Satisfaction Guaranteed (Or Take Your Love Back),Harold Melvin And The Blue Notes
Groovy People,Lou Rawls
Eli's Coming,Three Dog Night
When You Feel Love,Bob Mcgilpin
I've Got To Use My Imagination,Gladys Knight And The Pips
I Got My Mind Made Up (You Can Get It Girl),Instant Funk
Contact,Edwin Starr
Black Water,The Doobie Brothers
I Would Be In Love (Anyway),Frank Sinatra
You Haven't Done Nothin,Stevie Wonder
How Long,Ace
Starting All Over Again,Mel And Tim
Who Gets The Guy,Dionne Warwick
Goodbye Girl,David Gates
Pinball,Brian Protheroe
Two Fine People,Cat Stevens
Daughter Of Darkness,Tom Jones
Lose Again,Linda Ronstadt
(I Can Feel Those Vibrations) This Love Is Real,Jackie Wilson
Come Back Home,Bobby Goldsboro
Love Means (You Never Have To Say You're Sorry),Sounds Of Sunshine
Montego Bay,Bobby Bloom
Stone Blue,Foghat
Mary Jane,Rick James
Disco 9000,Johnnie Taylor
Let's Make A Baby,Billy Paul
Only The Good Die Young,Billy Joel
Ballroom Blitz,Sweet
Fun Time,Joe Cocker
Stagger Lee,Tommy Roe
The Payback - Part I,James Brown
Back Stabbers,The O'Jays
I'll Hold Out My Hand,The Clique
Beach Baby,First Class
"You Turn Me On, I'm A Radio",Joni Mitchell
Carry Me,David Crosby/Graham Nash
Street Talk,B.C.G. (B.C. Generation)
Hot Shot,Karen Young
This Is Love,Oak
Sail Around The World,David Gates
She's In Love With You,Suzi Quatro
I Love You More Than You'll Ever Know,Donny Hathaway
If I Were Only A Child Again,Curtis Mayfield
Hey There Little Firefly Part I,Firefly
Dancing To Your Music,Archie Bell & The Drells
Your Love Is So Good For Me,Diana Ross
Honey Trippin',The Mystic Moods
Something Better To Do,Olivia Newton-John
Father Come On Home,Pacific Gas And Electric
Woodstock,The Assembled Multitude
I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy
Cheeseburger In Paradise,Jimmy Buffett
Pretzel Logic,Steely Dan
Johnny Cool,The Steve Gibbons Band
Capture Your Heart,Blue
Lipstick,Michel Polnareff
Only One Love In My Life,Ronnie Milsap
Killer Queen,Queen
Can I Get A Witness,Lee Michaels
My Heart Belongs To Me,Barbra Streisand
Band On The Run,Paul McCartney And Wings
Rag Mama Rag,The Band
Rain Dance,The Guess Who
You Better Think Twice,Poco
Don't Give Up On Us,David Soul
The Golden Age Of Rock 'n' Roll,Mott The Hoople
Five Hundred Miles,Heaven Bound with Tony Scotti
Happy,The Rolling Stones
Sparkle And Shine,The Clique
Melissa,The Allman Brothers Band
Dancin' Kid,Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
I Don't Wanna Leave You,Debbie Taylor
Disco Nights (Rock-Freak),G.Q.
Didn't We,Barbra Streisand
5.7.0.5.,City Boy
A Song Of Joy (Himno A La Alegria),Miguel Rios
What You See Is What You Get,Stoney & Meatloaf
Watch Out For Lucy,Eric Clapton And His Band
Day Dreaming,Aretha Franklin
Like They Say In L.A.,East L.A. Car Pool
If It's Alright With You,Rose Colored Glass
Children,Joe South
Lady Bump,Penny Mclean
The Year That Clayton Delaney Died,Tom T. Hall
Scratch,The Crusaders
When Love Has Gone Away,Richard Cocciante
Isn't It Time,The Babys
For Love,Pousette-Dart Band
Baby Face,The Wing And A Prayer Fife & Drum Corps.
(Last Night) I Didn't Get To Sleep At All,The 5th Dimension
Keep On Keeping On,N.F. Porter
Soft And Wet,Prince
Give Me A Reason To Be Gone,Maureen McGovern
Free Bird,Lynyrd Skynyrd
You Got It,Diana Ross
Mainstreet,Bob Seger
Jukin,Atlanta Rhythm Section
Sing A Song/Make Your Own Kind Of Music,Barbra Streisand
I'm Gonna Make You Love Me,The Blend
Good Things Don't Last Forever,"Ecstasy, Passion & Pain"
Stir It Up And Serve It,Tommy Roe
"It May Be Winter Outside, (But In My Heart It's Spring)",Love Unlimited
We Been Singin' Songs,Baron Stewart
Help Me Make It (To My Rockin' Chair),B.J. Thomas
We're Almost There,Michael Jackson
I'm Gonna Let My Heart Do The Walking,The Supremes
Rock Island Line,Johnny Cash
I Wanna Stay With You,Gallagher And Lyle
Don't Stop It Now,Hot Chocolate
Dancin' Shoes,Faith Band
Wow,The Disco Sound Of Andre Gagnon
Ain't It Funky Now (Part 1),James Brown
Rock And Roll Lullaby,B.J. Thomas
Viva Tirado - Part I,El Chicano
Got To Give It Up (Pt. I),Marvin Gaye
Questions,Bang
99,Toto
You're In Good Hands,Jermaine Jackson
Wedding Bell Blues,The 5th Dimension
"Honey Please, Can't Ya See",Barry White
So Excited,B.B. King
And I Love You So,Bobby Goldsboro
My Best Friend's Girl,The Cars
"Find 'Em, Fool 'Em & Forget 'Em",Dobie Gray
"Bad, Bad Leroy Brown",Jim Croce
Little One,Chicago
Gas Lamps And Clay,Blues Image
Fox Hunt,Herb Alpert & The Tijuana Brass
Could Heaven Ever Be Like This (Part 1),Idris Muhammad
Airport Love Theme (Gwen And Vern),Vincent Bell
I'm Still Waiting,Diana Ross
"Sing It, Shout It",Starz
You've Got Me Runnin',Gene Cotton
I've Been Lovin' You,Easy Street
Everything Good Is Bad,100 Proof Aged in Soul
Friend Of Mine,Bill Withers
Somebody's Watching You,Little Sister
"It Sure Took A Long, Long Time",Lobo
It's All Right,Jim Capaldi
Ease On Down The Road,Consumer Rapport
That's When The Music Takes Me,Neil Sedaka
Long Time To Be Alone,The New Colony Six
Love Or Something Like It,Kenny Rogers
I Need To Know,Tom Petty And The Heartbreakers
Save Me,Donna McDaniel
Message In A Bottle,The Police
Wedding Song (There Is Love),Paul Stookey
Message From A Black Man,The Whatnauts & The Whatnaut Band
I Wanna Know Your Name,The Intruders
I Was Made For Dancin',Leif Garrett
I Wouldn't Want To Be Like You,Alan Parsons
Looking Through The Eyes Of Love,The Partridge Family Starring Shirley Jones Featuring David Cassidy
Don't Touch Me There,The Tubes
Cook With Honey,Judy Collins
Mamma Mia,ABBA
On The Strip,Paul Nicholas
Devil You,Stampeders
Baby Don't You Know,Wild Cherry
Giving It All Away,Roger Daltrey
Get A Move On,Eddie Money
Bigfoot,Bro Smith
Peter Gunn,Deodato
Misdemeanor,Foster Sylvers
Eyes Of Silver,The Doobie Brothers
Dreams Are Ten A Penny,The First Class
House Of The Rising Sun,Frijid Pink
Where Will Your Heart Take You,Buckeye
Deeper & Deeper,Freda Payne
Rainbow,The Marmalade
Heartbreaker,Dolly Parton
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic
Africanism/Gimme Some Lovin',Kongas
Where Have You Been All My Life,Fotomaker
An Everlasting Love,Andy Gibb
"When You're Hot, You're Hot",Jerry Reed
Gimme Your Money Please,Bachman-Turner Overdrive
Breakfast For Two,Country Joe McDonald
Look At You,George McCrae
Kick It Out,Heart
Church,Bob Welch
Be My Baby,Andy Kim
We've Got Tonight,Bob Seger & The Silver Bullet Band
We Are Family,Sister Sledge
I Write The Songs,Barry Manilow
Longer,Dan Fogelberg
The Cisco Kid,War
"Too Much, Too Little, Too Late",Johnny Mathis/Deniece Williams
Dreidel,Don McLean
I Never Said Goodbye,Engelbert Humperdinck
"Baby, Is There Something On Your Mind",McKinley Travis
Top Of The World,Lynn Anderson
(everybody Wanna Get Rich) Rite Away,Dr. John
Ode To Billy Joe - Main Title,Bobbie Gentry
Last Dance,Donna Summer
One Last Kiss,The J. Geils Band
Why Should I Cry,The Gentrys
Stars In My Eyes,Sugarloaf/Jerry Corbetta
Bell Bottom Blues,Eric Clapton
Phantom Writer,Gary Wright
Rocket Man,Elton John
If You Do Believe In Love,The Tee Set
Mighty Love - Pt. 1,The Spinners
WOLD,Harry Chapin
Little Queen,Heart
Dreams,Fleetwood Mac
Emma,Hot Chocolate
Ego,Elton John
You've Got A Friend,James Taylor
Love And Happiness,Earnest Jackson
Loving You Just Crossed My Mind,Sam Neely
Everybody Knows About My Good Thing Pt. 1,Little Johnny Taylor
Up Around The Bend/Run Through The Jungle,Creedence Clearwater Revival
Brown Sugar,The Rolling Stones
Runaway,Jefferson Starship
You're The Only One,Dolly Parton
Body Heat,Alicia Bridges
(Do The) Push And Pull Part I,Rufus Thomas
That's The Sound That Lonely Makes,Tavares
Silver Lining,Player
Heartaches,BTO
Straight On,Heart
Here Comes Summer,Wildfire
Minstrel In The Gallery,Jethro Tull
Delta Queen,Don Fardon
Lost Horizon,Shawn Phillips
(For God's Sake) Give More Power To The People,The Chi-lites
I'm Going Down,Rose Royce
Tennessee Bird Walk,Jack Blanchard & Misty Morgan
I Really Don't Want To Know/There Goes My Everything,Elvis Presley
"Mary Hartman, Mary Hartman",The Deadly Nightshade
You Needed Me,Anne Murray
Long Dark Road,The Hollies
You And Me Against The World,Helen Reddy
Stoned Love,The Supremes
Rock Your Baby,George McCrae
Something,Johnny Rodriguez
It Makes Me Giggle,John Denver
I'm A Believer,Neil Diamond
Crank It Up (Funk Town) Pt. 1,Peter Brown
Holding On (When Love Is Gone),L.T.D.
I Can't Tell The Bottom From The Top,The Hollies
Get It Up,Ronnie Milsap
Ready For The Times To Get Better,Crystal Gayle
"Working My Way Back To You/Forgive Me, Girl",The Spinners
Lowdown,Chicago
Money Honey,Bay City Rollers
Yesterday's Hero,John Paul Young
Lonely Teardrops,Narvel Felts
"""Cherry Cherry"" from Hot August Night",Neil Diamond
Daisy Jane,America
I Want You To Be Mine,Kayak
You're No Good,Linda Ronstadt
With A Child's Heart,Michael Jackson
"Love Theme From ""Eyes Of Laura Mars"" (Prisoner)",Barbra Streisand
You Sure Love To Ball,Marvin Gaye
Goin' Places,The Jacksons
Do You See My Love (For You Growing),Jr. Walker & The All Stars
Raised On Robbery,Joni Mitchell
Cotton Candy,The Sylvers
Dance Across The Floor,"Jimmy ""Bo"" Horne"
It Should Have Been Me,Yvonne Fair
"Your Wonderful, Sweet Sweet Love",The Supremes
You're My Driving Wheel,The Supremes
Slow Ride,Foghat
Finder's Keepers,Chairman Of The Board
When You're Young And In Love,Ralph Carter
What It Comes Down To,The Isley Brothers
Help Is On Its Way,Little River Band
Supernature,Cerrone
Knock On Wood,Amii Stewart
Sweet And Innocent,Donny Osmond of The Osmonds
Sinner Man,Sarah Dash
Way Back Home,Jr. Walker & The All Stars
Poor Boy,Casey Kelly
Heed The Call,Kenny Rogers & The First Edition
Honesty,Billy Joel
Our Day Will Come,Frankie Valli
In The Ghetto,Candi Staton
Dust In The Wind,Kansas
This World,The Staple Singers
Love Song,Anne Murray
Boogie Fever,The Sylvers
Wonder Could I Live There Anymore,Charley Pride
Ma Baker,Boney M
Who's In The Strawberry Patch With Sally,Tony Orlando & Dawn
Comin' Home,Delaney & Bonnie & Friends/Eric Clapton
If I Could See The Light,The 8th Day
How Can I Forget/Gonna Give Her All The Love I've Got,Marvin Gaye
Black Fox,Freddy Robinson
Walk A Mile In My Shoes,Joe South and The Believers
What Am I Gonna Do With You,Barry White
What Can I Do For You?,Labelle
Oh What A Day,The Dells
From The Beginning,"Emerson, Lake & Palmer"
Man Of Constant Sorrow,Ginger Baker's Air Force
Was Dog A Doughnut,Cat Stevens
Home Tonight,Aerosmith
Beginning To Feel The Pain,Mac Davis
Last Child,Aerosmith
Automatically Sunshine,The Supremes
Pearl,Tommy Roe
Edge Of The Universe,Bee Gees
We May Never Love Like This Again,Maureen McGovern
I Want You To Want Me,Cheap Trick
Roundabout,Yes
Can't Get It Out Of My Head,Electric Light Orchestra
Sing High - Sing Low,Anne Murray
Love's Made A Fool Of You,Cochise
Woman To Woman,Shirley Brown
Going Down Slowly,The Pointer Sisters
Candida,Dawn
Boogie Shoes,KC And The Sunshine Band
Ready For The 80's,Village People
Come Together,Aerosmith
Only The Lucky,Walter Egan
Hurting Each Other,Carpenters
Solo,Billie Sans
Brownsville,Joy Of Cooking
Dark Horse,George Harrison
Can't Give You Anything (but My Love),The Stylistics
(if You Add) All The Love In The World,Mac Davis
"Freedom Comes, Freedom Goes",The Fortunes
Yellow River,Christie
To Know You Is To Love You,B.B. King
Welfare Cadilac,Guy Drake
Open,Smokey Robinson
Someday,Dave Loggins
Rainy Days And Mondays,Carpenters
All I Need Is Time,Gladys Knight And The Pips
Running On Empty,Jackson Browne
Soul Shake,Delaney & Bonnie & Friends
Last Tango In Paris,Herb Alpert & The Tijuana Brass
I've Lost You/The Next Step Is Love,Elvis Presley
If We Try,Don McLean
(I Don't Want To Love You But) You Got Me Anyway,Sutherland Brothers And Quiver
Gone,Joey Heatherton
Love Hangover,Diana Ross
Look What They've Done To My Song Ma,The New Seekers featuring Eve Graham
Walking In Rhythm,The Blackbyrds
Help Me Make It Through The Night,O.C. Smith
Lyin' Eyes,Eagles
Rebel Rebel,David Bowie
Baby I'm - A Want You,Bread
I Don't Know How To Love Him,Helen Reddy
Where Are All My Friends,Harold Melvin And The Blue Notes
Changes,David Bowie
Now I'm A Woman,Nancy Wilson
Easy As Pie,"Billy ""Crash"" Craddock"
Living For The City,Stevie Wonder
Oh Well,Rockets
She Belongs To Me,Rick Nelson
My Angel Baby,Toby Beau
Hold On,Ian Gomm
Love Me For A Reason,The Osmonds
He Did With Me,Vicki Lawrence
The Mosquito,The Doors
Go All The Way,Raspberries
(Remember The Days Of The) Old Schoolyard,Cat Stevens
Life In The Fast Lane,Eagles
I Love You,Otis Leavill
What You Gave Me,Marvin Gaye & Tammi Terrell
Walk Away,The James Gang
Be Thankful For What You Got,William DeVaughn
Kings And Queens,Aerosmith
Since I Fell For You/I'm Falling In Love,"Hodges, James And Smith"
On Broadway,George Benson
Love Potion Number Nine,The Coasters
I'm Not In Love,10cc
Christmas Dream,Perry Como
"Call My Name, I'll Be There",Wilson Pickett
Kings Of The Party,Brownsville Station
Why Do Lovers (Break Each Other's Heart?),Daryl Hall John Oates
Dynomite-Part I,Tony Camillo's Bazuka
I Don't Want Nobody Else (To Dance With You),Narada Michael Walden
Sylvia,Focus
Sexy Mama,The Moments
Freedom,The Isley Brothers
Seaside Woman,Suzy And The Red Stripes
(Our Love) Don't Throw It All Away,Andy Gibb
I Don't Like To Sleep Alone,Paul Anka with Odia Coates
The Witch Queen Of New Orleans,Redbone
It Keeps You Runnin',Carly Simon
Peaceful,Helen Reddy
Heavy Love,David Ruffin
What Am I Crying For?,Dennis Yost And The Classics IV
Engine Number 9,Wilson Pickett
Love Ballad,George Benson
Baby Make It Soon,The Flying Machine
Fool For The City,Foghat
How Deep Is Your Love,Bee Gees
I' Been Watchin' You,The South Side Movement
Only Love,Bill Quateman
Highway To Hell,AC/DC
Letting Go,Wings
You,George Harrison
Chase The Clouds Away,Chuck Mangione
She's Ready,Spiral Starecase Featuring: Pat Upton
I Can't Turn You Loose,Edgar Winter's White Trash
Vahevala,Kenny Loggins With Jim Messina
Love Grows (Where My Rosemary Goes),Edison Lighthouse
Dancing Queen,ABBA
It's Summer,The Temptations
You Turned My World Around,Frank Sinatra
I Hate Hate,Razzy
Peaceful Easy Feeling,Eagles
You're The Best Thing That Ever Happened To Me,Ray Price
Goodbye Stranger,Supertramp
I Am Woman,Helen Reddy
It's Hard To Stop (Doing Something When It's Good To You),Betty Wright
Sunday Morning Coming Down,Johnny Cash
Better Days,Melissa Manchester
Every Kinda People,Robert Palmer
You Take My Breath Away,Rex Smith
Feelin' Stronger Every Day,Chicago
You're A Lady,Peter Skellern
I Am...I Said/Done Too Soon,Neil Diamond
Softly Whispering I Love You,The English Congregation
Fernando,ABBA
Hang Loose,Mandrill
Freddie,Charlene
Struttin',Billy Preston
Swearin' To God,Frankie Valli
Daydream Believer,Anne Murray
"Barbara, I Love You",New Colony Six
(The System Of) Doctor Tarr And Professor Fether,The Alan Parsons Project
Doo Doo Doo Doo Doo (heartbreaker),The Rolling Stones
The Night They Drove Old Dixie Down,Joan Baez
Freedom,Jimi Hendrix
Groovin' With Mr. Bloe,Cool Heat
You Light Up My Life/Believe In Humanity,Carole King
Thunder In My Heart,Leo Sayer
Love Finds It's Own Way,Gladys Knight And The Pips
House Of The Rising Sun,Santa Esmeralda
New York Groove,Ace Frehley
Let's Be Young Tonight,Jermaine Jackson
Touch Me When We're Dancing,Bama
In The Midnight Hour,Cross Country
TVC15,David Bowie
Torn Between Two Lovers,Mary Macgregor
Kufanya Mapenzi (Making Love),Ramsey Lewis
Here Come Those Tears Again,Jackson Browne
Don't Let The Green Grass Fool You,Wilson Pickett
She's Gone,Tavares
Heavy Makes You Happy (Sha-Na-Boom Boom),The Staple Singers
Take That To The Bank,Shalamar
(I Know) I'm Losing You,Rod Stewart With Faces
After All This Time,Merry Clayton
Summer (The First Time),Bobby Goldsboro
Jerusalem,Herb Alpert & The Tijuana Brass
Money Runner,Quincy Jones
Angel (What In The World's Come Over Us),Atlanta Rhythm Section
Elena,The Marc Tanner Band
Don't Cross The River,America
Heat Wave/love Is A Rose,Linda Ronstadt
Ships,Barry Manilow
Take A Chance On Me,ABBA
Year Of The Cat,Al Stewart
Boom Boom (Out Go The Lights),Pat Travers
Ride 'em Cowboy,Paul Davis
Lonely Days,Bee Gees
Sing A Song,"Earth, Wind & Fire"
"Reach Out, I'll Be There",Gloria Gaynor
Rhiannon (will You Ever Win),Fleetwood Mac
I Like To Live The Love,B.B. King
Rock And Roll All Nite (live),KISS
Superstar,Paul Davis
Spirit In The Sky,Dorothy Morrison
(I Know) I'm Losing You,Rare Earth
Butterfly,Danyel Gerard
Take It To The Limit,Eagles
Mr. Penguin-Pt. I,Lunar Funk
You Need Love Like I Do (Don't You),Gladys Knight And The Pips
Afternoon Delight,Starland Vocal Band
This Bitter Earth,The Satisfactions
You Gotta Have Love In Your Heart,The Supremes & Four Tops
My Way,Brook Benton
"Roots, Rock, Reggae",Bob Marley And The Wailers
I'd Rather Be Sorry,Ray Price
Shambala,B.W. Stevenson
Your Precious Love,Linda Jones
Ten Percent,Double Exposure
Will You Still Love Me Tomorrow,Dave Mason
You Were Always There,Donna Fargo
Super Highway,Ballin' Jack
You're A Lady,Dawn Featuring Tony Orlando
(Don't Fear) The Reaper,Blue Oyster Cult
Up On Cripple Creek,The Band
Fool In The Rain,Led Zeppelin
Goodnight Tonight,Wings
Indian Summer,Audience
Touch And Go,Al Wilson
"Baby, I Need Your Loving",O.C. Smith
Animal Zoo,Spirit
I Kinda Miss You,The Manhattans
Band Of Gold,Freda Payne
Brother Louie,Stories
Nutbush City Limits,Bob Seger
When A Child Is Born,Michael Holm
London Town,Wings
Somewhere Between Love And Tomorrow,Roy Clark
Old Fashioned Boy (You're The One),Stallion
Charity Ball,Fanny
Gonna Fly Now,Bill Conti
Walk In The Night,Jr. Walker & The All Stars
Mellow Lovin',Judy Cheeks
"So Good, So Right",Brenda Russell
Give It To The People,The Righteous Brothers
Bring It On Home,Lou Rawls
Theme From Love Story,Francis Lai And His Orchestra
Superman,Herbie Mann
Never Let Her Go,David Gates
I Have A Dream,Donny Osmond
Take A Hand,Rick Springfield
I'll See Him Through,Tammy Wynette
Da Doo Ron Ron (When He Walked Me Home),Ian Matthews
Be Nice To Me,Runt-Todd Rundgren
Jolene,Dolly Parton
Star,Stealers Wheel
Sweet Love,Commodores
Love Power,Willie Hutch
I Can't Stand The Rain,Eruption
I'll Still Love You,Jim Weatherly
Send In The Clowns,Judy Collins
Flash Light,Parliament
On The Border,Al Stewart
I Want To Dance With You (Dance With Me),The Ritchie Family
Talking Loud And Saying Nothing - Part I,James Brown
This Ol' Cowboy,The Marshall Tucker Band
Bring Back The Love Of Yesterday,The Dells
Rainbow Connection,Kermit (Jim Henson)
Lonely Eyes,Robert John
Cat Scratch Fever,Ted Nugent
Reach Out I'll Be There,Diana Ross
Lucky Man,Starbuck
When The Party Is Over,Robert John
All Things Are Possible,Dan Peek
Lazy Eyes,T.M.G.
Make You Feel Love Again,Wet Willie
You'll Never Find Another Love Like Mine,Lou Rawls
L.A. Goodbye,The Ides Of March
Clean Up Woman,Betty Wright
Dream Baby (How Long Must I Dream),Glen Campbell
Mr. Blue Sky,Electric Light Orchestra
Soul Power (Pt. 1),James Brown
"White Lies, Blue Eyes",Bullet
Growin' Up,Dan Hill
Time To Get It Together,Country Coalition
Rich Girl,Daryl Hall John Oates
Say Maybe,Neil Diamond
"July 12, 1939",Charlie Rich
Every Beat Of My Heart,Crown Heights Affair
Shooting Star,Dollar
Times Of Your Life,Paul Anka
Honky Tonk - Part 1,The James Brown Soul Train
Border Song (Holy Moses)/You And Me,Aretha Franklin
You'll Love Again,Hotel
Party Lights,Natalie Cole
Everything's Alright,Yvonne Elliman
Let 'em In,Wings
13 Questions,Seatrain
I Wish,Stevie Wonder
Only In Your Heart,America
You Send Me,Ponderosa Twins + One
Lamplight,David Essex
Are You Sure Hank Done It This Way,Waylon Jennings
We're Gonna Have A Good Time,Rare Earth
Carefree Highway,Gordon Lightfoot
Blue Money,Van Morrison
This Is The Way That I Feel,Marie Osmond
Hang On To Your Life,The Guess Who
Knock Three Times,Dawn
Amie,Pure Prairie League
Down By The River,Albert Hammond
Boogie Wonderland,"Earth, Wind & Fire with The Emotions"
Jive Talkin',Bee Gees
Long Lonely Nights,The Dells
The Cat Walk,The Village Soul Choir
Don't Ask My Neighbors,The Emotions
She's Got To Be A Saint,Ray Price
Gold,John Stewart
I'm Leaving It (All) Up To You,Donny & Marie Osmond
Jungle Love,The Steve Miller Band
You Belong To Me,Carly Simon
Woman To Woman,Barbara Mandrell
Fight The Power Part 1,The Isley Brothers
Right Down The Line,Gerry Rafferty
Together Again,Bobby Sherman
Can't Smile Without You,Barry Manilow
Pick Up The Pieces,AWB
Killer Joe,Quincy Jones
The Onion Song/California Soul,Marvin Gaye & Tammi Terrell
Dancin' Shoes,Nigel Olsson
Look What You've Done To My Heart,"Marilyn McCoo & Billy Davis, Jr."
My Elusive Dreams,Bobby Vinton
Got To Give In To Love,Bonnie Boyer
Ain't Got No Home,The Band
Flyin',Prism
Power Of Love,Martha Reeves
On And On,Stephen Bishop
That's The Way A Woman Is,Messengers
Chantilly Lace,Jerry Lee Lewis
La La Peace Song,O.C. Smith
If You Wanna Get To Heaven,Ozark Mountain Daredevils
Pushbike Song,The Mixtures
My Love,Paul McCartney And Wings
Eighteen With A Bullet,Pete Wingfield
Make Me Happy,Bobby Bloom
It's Your Life,Andy Kim
Keep It Comin' Love,KC And The Sunshine Band
Hijack,Herbie Mann
Sorry/That's The Trouble,Grace Jones
Chain Gang Medley,Jim Croce
Across 110th Street,Bobby Womack & Peace
At Midnight (My Love Will Lift You Up),Rufus Featuring Chaka Khan
Ecstasy,Ohio Players
Nights On Broadway,Bee Gees
Suavecito,Malo
Beautiful People,The New Seekers featuring Eve Graham
Everybody's Had The Blues,Merle Haggard And The Strangers
S.O.S.,ABBA
Leaving On A Jet Plane,"Peter, Paul & Mary"
Get Down,Gene Chandler
I Love Music (Part 1),The O'Jays
Diamond Girl,Seals & Crofts
Undercover Angel,Alan O'Day
Midnight At The Oasis,Maria Muldaur
Love Gun,KISS
Bad Luck (Part 1),Harold Melvin And The Blue Notes
Hot Summer Nights,Walter Egan
At Seventeen,Janis Ian
Second Avenue,Tim Moore
Hot Legs,Rod Stewart
An American Dream,The Dirt Band
You're A Part Of Me,Gene Cotton With Kim Carnes
Music,John Miles
Dancing Machine,Jackson 5
"Rock And Roll, Hoochie Koo",Rick Derringer
The Green Grass Starts To Grow,Dionne Warwick
Groovy Situation,Gene Chandler
You Don't Have To Say You Love Me/Patch It Up,Elvis Presley
Just A Smile,Pilot
Echoes Of Love,The Doobie Brothers
Stuck In The Middle With You,Stealers Wheel
Ariel,Dean Friedman
Ain't That A Shame,Cheap Trick
Puppet Man,The 5th Dimension
Good Times,Chic
Sweet Life,Paul Davis
Old Man,Neil Young
White Bird,David Laflamme
Blind Eye/Sweet Lorraine,Uriah Heep
Only Sixteen,Dr. Hook
Work To Do,The Isley Brothers
Christine Sixteen,KISS
I'm Not My Brothers Keeper,The Flaming Ember
I Gotcha,Joe Tex
Our Love Is Insane,Desmond Child And Rouge
