Der Kommissar,After The Fire,spotify:track:0OCoPwxoxtmhwTzUCpilQc
Jihad,Joe Chambers,spotify:track:0agwaOs5PApVPCnmtegYWM
Aladdin's Carpet,Beaver Harris,spotify:track:4iNbkWsg2xkTbjUqNtYM0N
Bodas De Prata (Silver Wedding),Paul Horn,spotify:track:06xwyJ3AXEzPoTtBCcnawK
Enlightenment: Psalm 4,Paul Horn,spotify:track:1yjIDbMkBcUNxfODbDrPK7
Little Sunflower,The Louis Hayes Group,spotify:track:4y209r5u5UccR0XKFP1sB1
Clay,Jeff Resnick,spotify:track:4XbYRFQDJgr94CrbD5QDmz
Ti-Ti,East New York Ensemble de Music,spotify:track:6Ih3eRAImLCkU8au8NPN2S
Mr. PC,Joseph Bonner,spotify:track:1aZbs8GkfNJ0AEvFz4luIR
Com Mais De 30,Claudia,spotify:track:5vSyBKGgP8DwErMptrUmL7
Dorothy,Jorge Ben Jor,spotify:track:6ct6PfaBiH3ADSJcakrt4J
Fairy Tale Song (Cade),Milton Nascimento,spotify:track:17VK1QBQtM3uwZem3t0iSO
Total Control,The Motels,spotify:track:6H1Kjxu2NlJCMxg0Pay0Rd
Relance,Gal Costa,spotify:track:7L9Sc5fg9daMPO2PjC7Lup
Mane Joao,Erasmo Carlos,spotify:track:1p3CQevtzOviUZmmsdvsv0
Night of the Hunter's Moon,Sally Oldfield,spotify:track:6FRojZ21k9wi8fttPCy2s2
Future Days,CAN,spotify:track:742Qq4oImak5UxgZu25897
Babá Alapalá,Gilberto Gil,spotify:track:1ErSaimCsD2hOoYwSBQ35A
You Don't Own Me - Rerecorded,Lesley Gore,spotify:track:5ILumokzwPbOjc78BovKEZ
Errare Humanum Est,Jorge Ben Jor,spotify:track:404gMKWRXpT3B2A6U8MXIL
"Ha, Ha, Ha",Gilberto Gil,spotify:track:5WiwgNmfXxk0inTdPckaFR
"Tamborim, cuíca, ganzá, berimbau",Azymuth,spotify:track:56cbrGLVQTYTgouw88sLrS
Soluços,Jards Macalé,spotify:track:6cXEOMbwkXicYqLj2vygWW
Vida Antiga,Erasmo Carlos,spotify:track:3htRSlhzKydHsswreubAI2
Losalamitoslatinfunklovesong,Gene Harris,spotify:track:5hWIabznkIL67rTmHPWpi7
Pontos De Luz,Gal Costa,spotify:track:4ABzNwtzvzvXsQMBIrdF39
Baltimore,Nina Simone,spotify:track:39CyGKIFqMzSuynOR8uilD
Something Big,Burt Bacharach,spotify:track:7MLxYHd2HMfKigXtFXygYi
Tô,Tom Zé,spotify:track:6i41Sc46SxGxsLmPBsz3kq
Calibre,Lô Borges,spotify:track:1mQ3ryvTBSWeEMkH0Ul4gK
Bananeira (Remastered),Emílio Santiago,spotify:track:3Z2Thcr0SrxKcQpvouDpR8
Magnólia,Jorge Ben Jor,spotify:track:68DcdIbgA4vEektkulFWPZ
Caboclo,Arthur Verocai,spotify:track:0CsmWiwg0wKJwtj3SvElNq
Andança,Beth Carvalho,spotify:track:2XCF9zbOTpv4VfuQxahluA
Good Times And Bad Times,Usha Iyer,spotify:track:7JHYmdns1xz7MFdVfrcBsq
A Preta Do Acarajé,Gal Costa,spotify:track:6jBbwohnRTLJTATcHNXrIX
Life Goes On,The New Dawn,spotify:track:7fuex6dOgeTNKqcDqP1UQY
Passarinho,Gal Costa,spotify:track:1S58j34kowXT5fcj95xt6y
L'enfant samba,Cortex,spotify:track:5uM2TbV57PabdmqUTJa1pG
O Trem Azul,Lô Borges,spotify:track:0zK8rz7eJdY9lwO8C6ZpER
Brazilian Rhyme (aka Ponta de Areia),"Earth, Wind & Fire",spotify:track:1bBY01q1I7hziu59ZVEm39
Vale Quanto Pesa,Luiz Melodia,spotify:track:2XJMcgIzo2cR0BSLYWDrMC
Disperato erotico stomp,Lucio Dalla,spotify:track:7ELgXEWwuVbUFVeXdZMK5c
Triangolo,Renato Zero,spotify:track:7GTeLC0Luk2RgtFE6CpYSo
"Minha Teimosia, Uma Arma Pra Te Conquistar",Jorge Ben Jor,spotify:track:1PXrYVQpOUDWo8NZDTSifY
Kilario,Di Melo,spotify:track:00Xcf47ApZUt6omH2RgdUM
Pensiero stupendo,Patty Pravo,spotify:track:5P2sVkO2mhgeDicQc1btfj
Coração selvagem,Belchior,spotify:track:0mCkyTrMKQObB6is9Y9ZQz
It's So Different Here,Rachel Sweet,spotify:track:3sn7rUTrSl6kbxYyBGopWr
Cordeiro De Nanã,Os Tincoãs,spotify:track:59HAcR0hVejI7Od0kgibFg
Babalu-Bar,Taxi,spotify:track:3OofqYvPyFE9Jx2l5nlElD
Utilisation,Düde Dürst,spotify:track:1s6xRPRNbQEJ1ZHaNU7tgf
Through Scarlet,Tea,spotify:track:7DNbewkvKEwEOxFk6LmgXh
The Ship,Tea,spotify:track:3QVgv2huKLt8rpA3A2dGfD
Riding In The Rain,Thirsty Moon,spotify:track:2OUYESFPTTrCF6TRuKsOxF
Mushroom,CAN,spotify:track:0h2R6FLbRwIxttDAPOhYNF
Halleluhwah,CAN,spotify:track:3DUoPXTDwsK71rQXiDkWRo
Hollywood,Cluster,spotify:track:741KQX9BobWT2bV5s5nO2D
Kekse,Harmonia,spotify:track:4ehFjZMyGIkjv3t35zutCc
Hallogallo,NEU!,spotify:track:66HBCMDaMjMHfCPIVa3ey2
Für immer,NEU!,spotify:track:2tKidB2peNYQBe0G2O3XRA
ISI,NEU!,spotify:track:58WBRN3iUuZU1aDMHgDOvA
Neuschnee,NEU!,spotify:track:0IpSdEeVrbPbuvKWkdC7HM
Seeland,NEU!,spotify:track:7BcaNQeQ5IRw1N5HSp1fke
Hero,NEU!,spotify:track:7plcmWdCYT9Pe1d0DzXLRG
Vitamin C,CAN,spotify:track:0yXXAD2XBB5iXweoUiJ3n1
Moonshake,CAN,spotify:track:2XeSK6V4DYDxSJ0bk4mrnu
Wie Der Wind Am Ende Einer Strasse,Amon Düül II,spotify:track:5yRJC0oMZYLqAHCjwKigGn
Eye Shaking King,Amon Düül II,spotify:track:7Kq5AG2KcObtmKlPeayUqy
China,Electric Sandwich,spotify:track:0Op852iGzkqJ9Xq0eR2W27
Gloomy Reflections,Shinki Chen,spotify:track:49RjlpNbgxylf0Lxn2zZF0
Super,NEU!,spotify:track:6jyqyTIEa2XXnXr17LTJ6O
Flammende Herzen,Michael Rother,spotify:track:1xKoikbf7wtFbi2NGBI7WE
First Communication,Agitation Free,spotify:track:7B7iN8ZrzOPvypi23DwddE
Sunrain,Ashra,spotify:track:7xrtYFSpcy2fT6xuyVZzFV
"Laila, Part 2",Agitation Free,spotify:track:4fIShFFiT8I5qB23FQWAKQ
All Things Are Fading,Ainigma,spotify:track:0YeWmMRQw208ruS8DPS9rK
Requiem of Confusion,Shinki Chen,spotify:track:6UASWjbZWrPDxEkr6UFXB1
Pantagruel's Nativity,Gentle Giant,spotify:track:0hY38Uc5H5j4BgxEf0guhA
Les Garde Volent Au Secours Du Roi,Jean-Claude Vannier,spotify:track:5zp9NBVNm34DF8cHfspE8Z
Melody,Serge Gainsbourg,spotify:track:6zcysGMvMEhlCij4ee6Jjf
"L'hôtel particulier - BOF ""Melody Nelson""",Serge Gainsbourg,spotify:track:6V6Ldaq75x6kmP2ktr0TXh
En Melody,Serge Gainsbourg,spotify:track:4YFLi42CeCljqZ4VzvRTwa
Cargo culte,Serge Gainsbourg,spotify:track:7MeFV4HLkVIguCG0FqwnL2
The Seventh Day,Jan Hammer,spotify:track:01AKqR9zmVkmPkUCZWpL5o
Babylon,Aphrodite's Child,spotify:track:2Zk1YHAVkX85hREoZ39s0t
The Four Horsemen,Aphrodite's Child,spotify:track:7jl7JwROOrvf0yOLF4AKfI
Tropical Hot Dog Night,Captain Beefheart & His Magic Band,spotify:track:4H9f3Oye4Qv3tw40FufclN
Weissensee,NEU!,spotify:track:3yl9SyxcfwvDNSSQsyXexq
Deutsch Nepal,Amon Düül II,spotify:track:0DcxmsMUGPhe94DEH2ifnR
A Morning Excuse,Amon Düül II,spotify:track:4uu4GZ7elu2N4pcFQSP3Y8
Ms. Pinky,Frank Zappa,spotify:track:5qFHGMAdwIsXnEtd3jIqUF
Apostrophe',Frank Zappa,spotify:track:78M81RIxqUdS8XU4YRXLej
Green-Bubble-Raincoated-Man,Amon Düül II,spotify:track:3rnnhBUbBHumvTWow9kDWN
Burning Sister,Amon Düül II,spotify:track:0qJBC5TxsxR0qFPblGKHB5
Archangel Thunderbird,Amon Düül II,spotify:track:7fOpF1rmcD4wpenamuNdp5
Planet Caravan,Black Sabbath,spotify:track:5OJGPn1GQysUgZcFXNQBHd
Watchin' You,Brainticket,spotify:track:3MJjYnUc6CTFAmFTdaQXXP
Promenader,Ragnarök,spotify:track:6ycopJCcPEV6pA9j1oSaqP
Im Krater Blühn Wieder Die Bäume,Amon Düül II,spotify:track:7rNYx6fbAZkbkF71lah9O1
L'homme à tête de chou,Serge Gainsbourg,spotify:track:0YP2hsl3g4yuUBVq1lKLzD
Echoes - 2011 Remastered Version,Pink Floyd,spotify:track:6nfXfoFwVyQZ6AJjokeFzi
Tzima N'arki,Roedelius,spotify:track:4olfVfpBgBZuNQaBLdhIx8
Wanderer,Günter Schickert,spotify:track:5imYZasttzdElQqCoTcaPD
Sword in the Sky,Lightshine,spotify:track:6k3atp1Yh4KZdnvd5P8vYg
Oktober '74,Morpheus,spotify:track:1dzo0w9XEowcnKxBMwCzI0
Un Ragazzo D Argento,Goblin,spotify:track:5T3BleUDutGR3v0woqOt5a
Surat Shabda,Deuter,spotify:track:5HfoF3NosqWox5zMwr9NFV
Master Of The Universe,Hawkwind,spotify:track:2fdaFizYQhu2D3jtxCjt2V
Gånglåt från Valhallavägen,Kvartetten som sprängde,spotify:track:1W30OOZSr8KdrHyDVWHCWC
J.L.T.,T2,spotify:track:7mn5Ezb8ikURiIEjVU1de2
Schekina,Samla Mammas Manna,spotify:track:2TKtcfgpahwMLksloh0xg0
77 Slightly Delayed,Ashra,spotify:track:1TmlYsvU6XoXn0Bs6p5CNC
Saying to the Land,Far East Family Band,spotify:track:4Tl9CVUQk3CutX8cNe6wgg
The Psychedelic Warlords (Disappear in Smoke) - 1996 - Remaster,Hawkwind,spotify:track:2YSOZFFQnq7F0dRyo2pdnF
Penny Hitch - Remastered 2006,Soft Machine,spotify:track:2Guf1XvAy8mf4s1yz0p75Y
Cosmic Messenger,Jean-Luc Ponty,spotify:track:5ePk7GMQIBbvgqVVQH8Xes
Déshominisation (I),Alain Goraguer,spotify:track:51O8s0VOum6BV0mqISv6kL
Open Space,Piero Umiliani,spotify:track:5vmuOhfuVUBTviTBlOwglG
Kwaeli,Sunbirds,spotify:track:2fBrzQFoZVHLQhc8erJd3O
No More White Horses,T2,spotify:track:4zYwpAya9qPOD19OCAv4EO
The Executioner,My Solid Ground,spotify:track:5OpikbxOR5jLKOKatsVilV
Krautrock,Faust,spotify:track:7h9hsEOJbNH2Y46ZR5NFfQ
Jennifer,Faust,spotify:track:5ptLjHxHmzEmzq4JblEjYy
Hawknose Harlequin,Amon Düül II,spotify:track:6lPOM7NXfFbRnpu75dKG8Y
Es War Einmal,Cluster,spotify:track:2IkZ9L5PHzae2YRIMqsL4D
Sitting Here On a Tongue,The Grodeck Whipperjenny,spotify:track:6sapBlfI2rHFRVVxBFXZlk
Opa-Loka,Hawkwind,spotify:track:6JMafl7gU8t4ydHDSTtPy0
Get A Little,Frank Zappa,spotify:track:4SFMObcKyavJDB1YlNjUJa
When You're Dead,The Ghost,spotify:track:4EURnrbaeJYJWMMl3ineeB
Too Late To Cry,The Ghost,spotify:track:7ItZHmuLVhGyxQSVJ0BL9N
I'd Like To Be Free,Out Of Focus,spotify:track:5EL22XM4ADiEK3UtxvWxMF
Jackdaw,Audience,spotify:track:75AvBXtVHn0LWghKq8Wy1X
Metamorphosis,Ananda Shankar,spotify:track:7G7qrUHGoaiQZQkusl0CjU
Barnhaus Effect No. 3,Sensations Fix,spotify:track:0xZDcvyN67wIOlyM2VnTcn
Fuck The Cops,Scorpion,spotify:track:4oaCU0puLZ0yh17jX4vg2A
Hey Girl I'm Ugly,Scorpion,spotify:track:2Bi50qvMhFlZJqFKmOXNqt
And I Wish I Were Stoned / Don't Worry,Caravan,spotify:track:2V15N5Tq3Ibrzd8jTHlLlx
Alice in Blunderland,Captain Beefheart & His Magic Band,spotify:track:4dzscWroWFTZ2XAfPSQWYe
Geisha,Missus Beastly,spotify:track:59RA1djmnyeTByHjxrVAft
Mirror of Illusion - 1996 Remaster,Hawkwind,spotify:track:0DpyGEC9O0UZfrwpBnGACC
Heart of Darkness,Pere Ubu,spotify:track:0bukPjpPkHQ2hOZjvd4p00
Bradshaw the Bison Hunter,East Of Eden,spotify:track:1WSPmJ50r5N11SpTFc9ob2
Sanc-Divided,Fraction,spotify:track:4zq31CsXknrBCUgOjgdcLf
Eye of the Hurricane,Fraction,spotify:track:3j0aTsOVHTRUR32a2UqdUR
Fotschi Tong,Cluster,spotify:track:4JQL18huBMh5mp78Cfg9tJ
05.00,Resan,spotify:track:3DjtHXpiCClNC7ilq9V5QL
Open,Frank Diez,spotify:track:3OTkbyJ9EhN6rrP9w9CBLI
Playcar,Lesiman,spotify:track:4XYl708v1zByS83uF6g3Vx
Children,Running Man,spotify:track:1lNcUPYOi0OX5DUYgF9Htd
Waiting in the Monsters Garden,Pan & Regaliz,spotify:track:7Az1zPbwBGUYlV1FfScaE6
Today It Is Raining,Pan & Regaliz,spotify:track:3dhXL4dPPUOsgCZGfI45iS
Portland Town,Rufus Zuphall,spotify:track:6KhUC9Q0jgWDUhoXikYkFN
Mandrake,Gong,spotify:track:0V2yLV3ysHAtwZyArt2beI
Last Morning,The New Dawn,spotify:track:46tGlNemSsgPzOAibTVzL2
Cries From The Midnight Circus,The Pretty Things,spotify:track:2Q3h3aeAhPBgjLa9u3Kv4j
Traum - Remastered,Hoelderlin,spotify:track:1r0oCRkx8piclGysm5WNXC
Gäa,GAA,spotify:track:4RDWej1WWntfYwwD647VRm
Un Señor Llamado Fernández de Córdoba,The Storm,spotify:track:3qmxkeVKTG3FGAkVm1FGo6
Sam,Quiet World,spotify:track:6EIW9Sp2nMpwh7HmbYCYZT
Speed of Life - 2017 Remaster,David Bowie,spotify:track:7B265QWYkUeqG2ihVEUZ5D
Sound and Vision - 2017 Remaster,David Bowie,spotify:track:1vP2JEXRsGrFbwOZ0foOQ5
Always Crashing in the Same Car - 2017 Remaster,David Bowie,spotify:track:73HwMEPCCCEqKFYONpOxe9
A New Career in a New Town - 2017 Remaster,David Bowie,spotify:track:6O3YVHQaeImvCBbJbalB00
Subterraneans - 2017 Remaster,David Bowie,spotify:track:2yfKkvgywRAY9xy849piLp
Elevation,Television,spotify:track:1pimWzwUERYZbAFr5tL0Xl
Friction,Television,spotify:track:7wfvl1kiZJNvhx6HNTyefX
Torn Curtain,Television,spotify:track:7p0Pk7IJw1c494Qz5lXopE
Jugo de Lucuma,Invisible,spotify:track:4eNd245wCiCqqCIFDEiyhg
Suspensión,Invisible,spotify:track:5EOBZfw5dIKZJ6lTVEZ8e7
Bel Air,CAN,spotify:track:5JZNaNGQR40MCunvOBPvlb
Spray,CAN,spotify:track:3D8IsQBxJzOTsaXBJDy4Ar
Future Days,CAN,spotify:track:1w3jYHuIvBIE1bOjaIJ1gO
Stay - 2016 Remaster,David Bowie,spotify:track:0tIGiKkTb1US3apjAhW1SG
Station to Station - 2016 Remaster,David Bowie,spotify:track:7cehkXeGO0t8HosgO42tHl
Spoon,CAN,spotify:track:4yGEFWe0tZzYGkNtJRg9bf
I'm So Green,CAN,spotify:track:7otf12LkWCB2mTZhZvMHTb
Paperhouse,CAN,spotify:track:7DkBaBFwV7lOrnhAVxf2UB
Halleluhwah,CAN,spotify:track:70qxD18uKMa7EqWHT8wLZK
Oh Yeah,CAN,spotify:track:1XmPGkMS7d0xEBbclF1Z2j
Post-Crucifixion,Pescado Rabioso,spotify:track:2ri0lTjVeBkWAmRVkJoHXL
Blues de Cris,Pescado Rabioso,spotify:track:7aTrE9dlJFI4nxoj7QbX2F
Las Habladurias del Mundo,Pescado Rabioso,spotify:track:5K6fJf9l8WTsscngGert0b
"A Starosta, el Idiota",Pescado Rabioso,spotify:track:2DKqDAq0v3eKtzO8TpEPUB
Cantata de Puentes Amarillos,Pescado Rabioso,spotify:track:7BCQ7bfdNpCdLmlvEGUfSG
Por,Pescado Rabioso,spotify:track:79vy4Ma2UIfzXxJx0SXLGL
Cementerio Club,Pescado Rabioso,spotify:track:0O9BqfU1Cdm7YqmD0TrT9i
Atomic Bombs Away,Blues Creation,spotify:track:7a0AHzhbdC6CVdFsOURxVb
Satori Part II,Flower Travellin' Band,spotify:track:6VU6nJ40P2Y2nuceLxTOto
Satori Part IV,Flower Travellin' Band,spotify:track:00G9EHnwvGk7Yif0srEmgZ
Kraan Arabia,Kraan,spotify:track:6aqqc5B1r2Mv9wO6bd7m4L
Crying in the Dark,Nektar,spotify:track:2WYtruK39AgxLLSde4Q8Bx
A Pillow of Winds,Pink Floyd,spotify:track:7krbQbYq63hcwVMNW1R0tD
Echoes,Pink Floyd,spotify:track:7kriFJLY2KOhw5en9iI2jb
Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,spotify:track:6pnwfWyaWjQiHCKTiZLItr
Shine On You Crazy Diamond (Pts. 6-9),Pink Floyd,spotify:track:21j1PsCiTaO8ZW88UZrh3A
Hosianna-Mantra,Popol Vuh,spotify:track:2QJHhVo4ETLw7TjYi4wFHY
Vuh,Popol Vuh,spotify:track:21CfRCH5d4JVMtKxIPFGDu
Station 2: Schönes Babylon,A.R. & Machines,spotify:track:2yXLLYU31uCylBtSVNxi8F
Station 4: Als hätt ich das alles schon 'mal gesehen,A.R. & Machines,spotify:track:6IkQcwHwe5KqM3tphkOvCH
She's Lost Control - 2007 Remaster,Joy Division,spotify:track:49G0Rj1qpt75vdgiOo8QAE
Sunrise,Sunbirds,spotify:track:688cFZ1EceSB3vqwp0Q8EI
In den gärten pharaos,Popol Vuh,spotify:track:6YBC3WPcx7WwNUAPkzNPWP
Art Decade - 2017 Remaster,David Bowie,spotify:track:1TfzSwueVDW3b1xTJ46O26
Brand New Cadillac - Remastered,The Clash,spotify:track:7FYkZkF9fog6WS818wJnhl
"Good Thoughts, Bad Thoughts",Funkadelic,spotify:track:7CeyIwdn0M6JhGvHPZstjf
"Who Knows - Live At Filmore East, New York/1970/1997 Digital Remaster",Jimi Hendrix,spotify:track:4HPrUgoKToMGkq5vxVx2zG
"Machine Gun - Live At Filmore East, New York/1970/1997 Digital Remaster",Jimi Hendrix,spotify:track:2l2YAblqvbivu8xx2KaxPB
Azafata del Tren Fantasma,Invisible,spotify:track:0VGMbAHolwAYe2k5RmHHU3
"Lo Que Nos Ocupa Es Esa Abuela, la Conciencia Que Regula el Mundo",Invisible,spotify:track:6t9G8frU0kZX5hxmiWi7Zw
Pepele,ORF Big Band,spotify:track:7jxG6RtQa6MrrUN68H1KV2
Pumpal - Whipping Top,Variety Orchestra Of The Committee For The TVR Bulgaria,spotify:track:27hMl8p1Z1Rwo72WZrkJ1N
Satin Soul,Henry Mancini & His Concert Orchestra,spotify:track:0yoyXoDvfNEXUDWa9JWe9X
Muad'dib,David Matthews,spotify:track:5b7crnkQo5GG6unkpdqwwa
Whole Lot Of Love,Bobby Shad and the Bad Men,spotify:track:5lwcoiypoSUvKImy5aWt99
Naples' Dock,Franco Campanino,spotify:track:3eksDYIukUmjksyBSAnXi7
Kolysanka dla malutkich Chinczykow,Czeslaw Bartkowski,spotify:track:5FeZaC0RE1C38Sr1MwIcaX
Istmo,Ugo Fusco,spotify:track:3sUTWgDO1OvvISNVyfbXKg
Good Times Bad Times,Czeslaw Bartkowski,spotify:track:3x4sSRDtwqJc3wwok5U4iv
"Whipping Post - Live At The Fillmore East, March 1971",The Allman Brothers Band,spotify:track:2FZv72gyxqvSr4AdQm6gzt
Never Say Die,Black Sabbath,spotify:track:2oEeygvTiKB9Gv0PZ0FWO6
You Won't Change Me,Black Sabbath,spotify:track:7t0CR2qrt488hqumOzYNAp
Killing Yourself to Live,Black Sabbath,spotify:track:4d44SGZ7sekFrOaih6WOBs
Shot Down in Flames,AC/DC,spotify:track:6pivm7pNF4GyBkHNGseHCS
Sweet Leaf,Black Sabbath,spotify:track:4uqKvEEgUnOHUuxmxU5dVr
Big Balls,AC/DC,spotify:track:2KmSnPWWCIsEomVsKnbE1a
"Problem Child - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",AC/DC,spotify:track:0fUyiY8d2SxITRs5cJWR4X
Whole Lotta Rosie,AC/DC,spotify:track:4wYq5wugZDzQiMZQYG4wVB
Touch Too Much,AC/DC,spotify:track:2j0zExWFB0PowLOeoZosjK
Girls Got Rhythm,AC/DC,spotify:track:6Wn3pdFtAcnYJyJVITwt7N
Overkill,Motörhead,spotify:track:2O3BRyrdPgauBAAH5vxxvc
Dead Men Tell No Tales,Motörhead,spotify:track:1M8rfPZchA2W7SUycxNpJ2
Gypsy,Black Sabbath,spotify:track:6KaZvFmzSCtg82zGhzbAkR
Let There Be Rock,AC/DC,spotify:track:753KutoAy00apPsplMRetG
Wheels of Confusion/The Straightener,Black Sabbath,spotify:track:4wkMbcxl87x6p8Bhrv1wKC
Snow Blind,Black Sabbath,spotify:track:18KP8njxEYDcigx52VfB7P
Sabbath Bloody Sabbath,Black Sabbath,spotify:track:0pRBe5fl0ZuoWhdEcAIbXS
Charisma,KISS,spotify:track:6APqOgIQnXXHLd1xq00atd
Problem Child,AC/DC,spotify:track:4cKoFvIkCA88axbQ6hfbRC
Supernaut,Black Sabbath,spotify:track:7dlvtSJgkXSOKtTH8OAHDY
Damage Case,Motörhead,spotify:track:7gnLy3GCJa9fsUAMrr62QF
Exciter,Judas Priest,spotify:track:1d8nkRm5t4DN4X0FMw4Zcs
A National Acrobat,Black Sabbath,spotify:track:0QRUCaiGJmta8PJst9HdTd
Hole in the Sky,Black Sabbath,spotify:track:2T5TRB3KjeollvBSl25HmW
Stay Clean,Motörhead,spotify:track:6tXOKRPzYPVJCYCBnO0mxx
Symptom of the Universe,Black Sabbath,spotify:track:1xulBp54SzvJEBC7kBrxEO
Tyrant,Judas Priest,spotify:track:3Z6jOwUtmeuqL2mRPIcdAX
Black Sabbath,Black Sabbath,spotify:track:1Q4fsiP6yMYbBv0eH6aj1d
Before the Dawn,Judas Priest,spotify:track:29KPwkhfGpRkrL57TmFbDE
Diamonds and Rust,Judas Priest,spotify:track:2Z17Q91PB11tzkDh0QQtd6
The Ripper,Judas Priest,spotify:track:6KnxpxnhS6uRsG1qX90BIy
Iron Man - 2014 Remaster,Black Sabbath,spotify:track:3IOQZRcEkplCXg6LofKqE9
Spirits Drifting - 2004 Digital Remaster,Brian Eno,spotify:track:0CUTdiwHWlO3VGWHQxpbeo
Lowdown - 2006 Remastered Version,Wire,spotify:track:2fb7dWrEsTKuPWohoaQHa5
Ether,Gang Of Four,spotify:track:3vrvsVq1xw7MwT8J8rFPIq
Ex Lion Tamer - 2006 Remastered Version,Wire,spotify:track:5bb71zUIXMD6fsnHBLaoQ6
Algo Flota en la Laguna,Pescado Rabioso,spotify:track:3SZQGAqOwIowwLL6TfybII
Zen Archer - 2015 Remaster,Todd Rundgren,spotify:track:68fJKEFaEavY3CurGGCWXc
The Sad Skinhead,Faust,spotify:track:4WJEsaMmXfXnuVTArWEaRT
Dios De Adolescencia,Invisible,spotify:track:1psO8ZpTON3hDYwpBfZekL
Durazno Sangrando,Invisible,spotify:track:6pjbkrGImw09Nv5Ji3emkr
Los Libros de la Buena Memoria,Invisible,spotify:track:2Xmngyu2TzYsxnleGTHq1D
Lust For Life,Iggy Pop,spotify:track:3IRvvlj2KpYoH76mLacnsp
World,Felt,spotify:track:6f7xPDY1G2QQx2NjGKRT1N
Radagacuca,Brainticket,spotify:track:19900sAVt8ijp7npXuFnhr
"Medley: Rocken mit Eduard, Something Else, Weekend, Twenty Flight Rock",Guru Guru,spotify:track:5fjVu7fVpGdP1tLiZC6WRw
Painful Struggle,The Advancement,spotify:track:4WixCmglqA4Yfd76hidyiT
Osmose I,Annexus Quam,spotify:track:1FyBN7tzfpV9iFA1fTKGoj
Baby's On Fire - 2004 Digital Remaster,Brian Eno,spotify:track:2PV9sorI2h94qEPke7SlGI
Karussell,Michael Rother,spotify:track:29bBL8NPgtdDvuAZEH5dkU
Peter Gunn - Live; 2017 Remastered Version,"Emerson, Lake & Palmer",spotify:track:0T61tnl44XU7PPycySuJX5
"Hola, Pequeño Ser!",Pescado Rabioso,spotify:track:3oaHXjWZpGU3X2Y7ZE22gV
Bajan,Pescado Rabioso,spotify:track:6hmYi0E6EBEmDeztQHaH0C
The Guns of Brixton - Remastered,The Clash,spotify:track:0jnFDxgNhS156vu6roUVco
The Low Spark Of High-Heeled Boys,Traffic,spotify:track:1yW6y8RufwB4WEAQeip0tx
And It Stoned Me - 2013 Remaster,Van Morrison,spotify:track:3n5iUh2Z6P7cnWins22W0F
Satellite of Love,Lou Reed,spotify:track:5WyuRWUcOOhAic0tj9Pl28
St Elmo's Fire - 2004 Digital Remaster,Brian Eno,spotify:track:0UROPTHqU5C7TI1N8wOkIF
El Anillo del Capitán Beto,Invisible,spotify:track:23jMDvKil4frbTA35BVzBY
Castillo de Piedra,Luis Alberto Spinetta,spotify:track:5wmHOZHzfzfRYI57UbKlOo
Que Ves El Cielo,Invisible,spotify:track:2G6XFgIRMn0ZdIBao0ggoM
The Passenger,Iggy Pop,spotify:track:24FmdHoCr2jZGE6Z6dZbJT
King of Twilight,Nektar,spotify:track:3seNSwXlKmimWQzgjycOxD
Waste Land,Rufus Zuphall,spotify:track:3ocx8dwRjpg6bTt64bcWh1
Paramechanical World,Amon Düül,spotify:track:5mpBZqqI4IJPQQ5XcmGt7o
Fire In Cairo,The Cure,spotify:track:2ZZjAZLVSnHJnSNFN5AUCd
Nothing Again,Missus Beastly,spotify:track:2WXFP43jbv3pHuChWomwz1
Meadow Of Infinity - Pt. 2,Peter Baumann,spotify:track:02C6UlOJSBbMUuSRWhHHh2
Physical Love,Eddie Hazel,spotify:track:5WWjhNZsDcxIKeVecZqSvu
Poseído del Alba,Pescado Rabioso,spotify:track:7mIcuiUK2oq4PJSuDeY2Lw
Behind Blue Eyes,The Who,spotify:track:0cKk8BKEi7zXbdrYdyqBP5
Do It Again,Steely Dan,spotify:track:2BstRQGodshjGpeDGQiNgo
Oye Como Va,Santana,spotify:track:5u6y4u5EgDv0peILf60H5t
Europa (Earth's Cry Heaven's Smile),Santana,spotify:track:4VbOIkKqt0gkZpC75oKSxS
Iron Man,Black Sabbath,spotify:track:0TI8TP4FitVPoEHPTySx48
War Pigs,Black Sabbath,spotify:track:0W35nxtHtFlseSojmygEsf
Overkill,Motörhead,spotify:track:1Krtfh550kyhfWPcRp6SnD
(They Long To Be) Close To You,Carpenters,spotify:track:79SE4x5ZROfEqaN12nXFHj
How Deep Is Your Love,Bee Gees,spotify:track:3jTKA7CKqIxlxa8vMO0wlj
Stayin' Alive,Bee Gees,spotify:track:7LsbKgRQ0IZRMO3TF7pTUm
More Than A Woman,Bee Gees,spotify:track:5YdHNygVjhaivT5F1iaU2f
Tragedy,Bee Gees,spotify:track:04waBn6uK4Af8udH2KqQri
Macho Man,Village People,spotify:track:0xRDqhYsCW6F9LM4s7gY5z
Boogie Wonderland,"Earth, Wind & Fire",spotify:track:6ztstiyZL6FXzh4aG46ZPD
September,"Earth, Wind & Fire",spotify:track:0eEncOnmSHqnm1sgXsjUSA
Play That Funky Music,Wild Cherry,spotify:track:5uuJruktM9fMdN9Va0DUMl
Roundabout - 2003 Remaster,Yes,spotify:track:0YveezON7jpiaHA8fnUHxN
Love Gun,KISS,spotify:track:0SPBrxOUEMIKugXR4bFhxs
