Inspector Gadget,The Kartoon Krew,spotify:track:05gNNySi0N20CpbNiYynCy
"Inherit The Wind - 12"" Version",Wilton Felder,spotify:track:43XY9s9zUjedNh6ALN1y4Q
Angel Baby,Rosie & The Originals,spotify:track:71keN33KR0rS5jwKi4JNLE
Pop Queen,Ben Lee,spotify:track:5VrUMwLKgkg66Pje2x3OXw
Bye bye my cowboy - Pettibone's House Mix,Mitsou,spotify:track:3JoQEWXey2AEkZ1J1lqbP7
The Letter - Single Version,The Arbors,spotify:track:345aae5fYihYxFQIOt0M14
Goin' Back,Dusty Springfield,spotify:track:0knHpoQ57W5gZhtOKnD6Tw
You're No Good,The Swinging Blue Jeans,spotify:track:0o16ASH9cUFdn99RMR5O5d
Knockin' On Heaven's Door,Guns N' Roses,spotify:track:2C4aYxNpoPkmoZ3ZdPeuOB
Angeles,Elliott Smith,spotify:track:5cW9OyV8C701YkRENJH5nI
Smith & Jones Forever,Silver Jews,spotify:track:5LrKDMKMnG6Vp5jKGDypBY
Summer Breeze,Type O Negative,spotify:track:5cDS0AxJMZkAHjuwfUomJI
2 Wicky,Hooverphonic,spotify:track:4NyKEVldCvokxpmeFBNNXI
Forty Six & 2,TOOL,spotify:track:6AioOohg4bQZFA4jIYQQ2r
Twisty Mirror,Holly McNarland,spotify:track:1vzgRs2MkvoX1K056S66fO
Going Away,Gangway,spotify:track:5Fn1UpD63H8fII33twDKPh
Down By The Water,PJ Harvey,spotify:track:1JqInwYzD5BNmTUkn8KxS0
Charms Around Your Wrist,The Softies,spotify:track:5xUDPZPwaa6JqlthuE9isu
Sixteen Tons,Tennessee Ernie Ford,spotify:track:3P6OwCX7Ofiaaqtvujb6i5
Get Busy - Lidell Townsell Mix,Mr. Lee,spotify:track:1VJzm6JlQh55fh1csQdD0L
Dumas Walker,The Kentucky Headhunters,spotify:track:5MhVlzGZgcqQ1O0OEFTUxf
Allison,Pixies,spotify:track:6IJjnilEkzI4CQMXcPgrmx
When We Glow,Tristeza,spotify:track:2TyfNCcttA6UH771ZlEBsx
The World I Know,Collective Soul,spotify:track:794pcMq18sBEsmwjRq0aOI
"My Boyish Days - 12""",Care,spotify:track:6Uzj4Dbp6AIZSH9h17p5Di
Good Vibrations,Marky Mark And The Funky Bunch,spotify:track:5hWdgGVcfTeLPAiHM6EZG9
Eccentric Man,The Groundhogs,spotify:track:2n1OihJMKb7Bds1DO76rFb
Dallas,Jimmie Dale Gilmore and the Flatlanders,spotify:track:6iQPJ4h3R8fmelLLuEXqap
Morning Train (Nine to Five),Sheena Easton,spotify:track:6CEKntwndUlmWhSRflWA5X
Three Coolchicks,The 5.6.7.8's,spotify:track:28NhullkgC7j9Ucs2PqKGY
Part Time Punks,Television Personalities,spotify:track:4HIAtcFGSi6ZRnqxEhKFvA
Ju Ju Hand,Handsome Dick Manitoba,spotify:track:7KXgqzCewp5mnMw1MmQl8s
Sugar & Spice,Cryan' Shames,spotify:track:3oc2dcOFq4wCuuHhfCoyTg
Latin'ia,The Sentinals,spotify:track:24OKJF2XBKAtSIdfYrSXJH
Kick The P.A.,Korn,spotify:track:6oWADiX0dhe9mswlC1hiUx
Love Hurts,The Everly Brothers,spotify:track:35QoHS1xi2n5SQ2xora5en
Gone Upside Down,Dishwalla,spotify:track:4u2y4aHgAsHUNpijpBt2Jk
Memphis Emphasis,Tristeza,spotify:track:6EL1SjVXdgSYdEc2JxFbug
Nemesis - Arch Deviant Mix,Shriekback,spotify:track:68cuMWC3HCMmRB6KB8LPpV
Incomplete,Sisqo,spotify:track:55e8RGj2P77QNJt3vaa0d8
Bottle Rocket,Heatmiser,spotify:track:2AhohgwAbROombPiAqB8Ly
Goin' Back,Dusty Springfield,spotify:track:4QGr9ZnXUyX2zvWV92CIsw
Zor and Zam - TV Version,The Monkees,spotify:track:09JTtTUWazEOEeKyBPtsZn
Local Boy Makes Good,Flamin' Groovies,spotify:track:5vWOAbEgceNqSO7KTUYGKd
Hey Bulldog,Toad The Wet Sprocket,spotify:track:5gC1e3af4KNmxysLjXKRwo
Bitter Sweet Symphony,The Verve,spotify:track:0jLnevC3Vn34qVWrAa4X6x
The What,The Notorious B.I.G.,spotify:track:4dTtYVQzlwBMpVyQ4h3wy2
The House of the Rising Sun,The Animals,spotify:track:3XC7Jd6SfrQYKZJ6inyRHK
I Ain't No Miracle Worker,The Brogues,spotify:track:0Kaj7mmQ5e2ajwjEI2cCVp
"I'll Be Good - 12"" Mix",Rene & Angela,spotify:track:6kFoo8O618VI48jDRpNbiM
Stone Cold Yesterday,The Connells,spotify:track:56WXMq4aLSWMCTnQawOJ8I
Remember (Walkin' In The Sand),The Shangri-Las,spotify:track:4t1MwHt0wd3ZUZplwriwr9
Don't Tread On Me,Metallica,spotify:track:0PDThNPaf3ganx4PFmGznK
If I Can't Have You,Yvonne Elliman,spotify:track:0QjPiq9Wka9I1b4uzWETYI
The Government Administrator,Eggs,spotify:track:26pA4TepPUMVTjY4FOMA2T
The Kids Are Insane,Urge Overkill,spotify:track:7c90NWIfzYB2T2pIyGlLxn
Flat Beat - Radio edit,Mr. Oizo,spotify:track:4ek71wqDqmg2nrPHpFNRnU
Part Of Me,TOOL,spotify:track:2iL5ns7JhMGFSGpfQ3HQ6k
Grow Your Own,Small Faces,spotify:track:67Eq6SoGQ2GIoveIr8F1vZ
Save The Best For Last,Vanessa Williams,spotify:track:4SNJqELEbMqGWydQQMycco
Downtown,Petula Clark,spotify:track:3GdToSzgYd9DKnZEH2YdIg
Jacking the Ball,The Sea and Cake,spotify:track:5KnDpd5WFl65yJ0ByauXBW
Farther Along,Sam Cooke,spotify:track:3UM40IV4mvjnxNYTIR4vXg
Can't Stop - Remix,After 7,spotify:track:2am14wFmbow4gZXQy1Pwyh
"I Can't Stand Myself (When You Touch Me), Pt. 1",James Brown,spotify:track:7B5MfGrThgt6fDa8P9M6yk
Gotta Draw the Line (Sidney) - Early Version,The Swinging Blue Jeans,spotify:track:0AsHVvRjAP9jndkcsfHiW2
Love's Gone Bad - Single Version,Chris Clark,spotify:track:2JNw1qz1nxv6eVQ95yRiqf
The Heart's Filthy Lesson,David Bowie,spotify:track:6dNxb6DqPlNSF1KmftIoVF
Black Hole Sun,Soundgarden,spotify:track:67ZyR9O1xkr9p91Vmews3V
You're No Good,The Swinging Blue Jeans,spotify:track:0WiKz86jAqiP6ZnuAZv8nz
Ronnie,Metallica,spotify:track:1ZILlTuFMlnCojxQhOKog5
He Was Really Sayin' Somethin' - Single Version,The Velvelettes,spotify:track:7zw0jBh5Khn08DkDP93yyh
Try It Out,Gino Soccio,spotify:track:2hX4jY6URV3FsPgC7jqDAS
Anything - 2008 Version,Third Eye Blind,spotify:track:16Wr4dUpjdpCRqIljtkBNF
Lovefool,The Cardigans,spotify:track:7aQjPecQdIuNd1sz3KCDhD
Stumblin' In,Suzi Quatro,spotify:track:6L1Ay5OhRH2Yz38Aa4QZio
Echame A Mi La Culpa,Albert Hammond,spotify:track:01LHmbTALqwnoGWT3gZPYH
Peppermint Twist,Joey Dee,spotify:track:3qaxvM6GoaZEiOySyYV4e2
Relax - New York Mix,Frankie Goes To Hollywood,spotify:track:563fg3P83xttrNhgnRatBt
Sweet Leilani,Arthur Lyman,spotify:track:3NJnPE6wHAfnM85PVr1Umk
Where You Get Love,Matthew Sweet,spotify:track:3LTd8XKx4Qfyl0KSTuvscH
Pretty Fly (For a White Guy),The Offspring,spotify:track:15HadeuRG9THazDGzLH8ZU
Chains of Love,Piero Piccioni,spotify:track:1cnDtWvcBIWpklcbTr9eW5
No 1/2 Steppin,Shanice,spotify:track:2k9Zv2L4kq2yq0wT2Yxoy5
Lay It Down,Magnapop,spotify:track:1nG2q0FqmLLH82JnoYSAew
The Right Kind of Love,Jeremy Jordan,spotify:track:6WTwlLmhaq935X1jCq19wT
Bernadette,Four Tops,spotify:track:4j7Ehav8SUUgSePBptGxTi
Prison Sex,TOOL,spotify:track:6bBfqZW47dwndIfYQcB0VR
Total Eclipse of the Heart,Bonnie Tyler,spotify:track:5prTs2HAw2G4idHZyeFp8o
Ever Fallen in Love (With Someone You Shouldn't've)?,Buzzcocks,spotify:track:6xVq4SrxJHWLLKq91ZeCqm
Rainforest (Original Version),Paul Hardcastle,spotify:track:6vXzYV6xqltDEYLNSgwjiG
Such a Shame - Extended Mix,Talk Talk,spotify:track:638KU4ArLcLwIBgGb7MVIa
#1 Crush - Nellee Hooper Mix,Garbage,spotify:track:08L1WAtYQnsFBoZ3MEBkYV
Cry Baby,Garnet Mimms & The Enchanters,spotify:track:6BiQOxPWVZvum3BZ2Bd4a7
Stalkin',Duane Eddy,spotify:track:6B8I1qFm81w2grBX30btLj
About A Girl,Nirvana,spotify:track:2a8pQLSuhloP8ywoy5Or5i
Hooch,Melvins,spotify:track:52d35Deejayu18L7EPCIjU
Burn a Hole,Skin Yard,spotify:track:7fJZisLc35j8EbIQxTFx8b
The Man In Me,Bob Dylan,spotify:track:2j1Ign9DL4AzOewotVETYY
Napiers,The Wrens,spotify:track:0UNtZUbrpysLZLa1DuIgSS
ÃÂÃÂ¾ÃÂ¼ÃÂ±ÃÂ°ÃÂ,Lyube,spotify:track:6nXhsY2AUOt26GU19054B3
That's Where I Went Wrong,The Poppy Family,spotify:track:3P6JWWqtWFKPB8Gr47TI3C
Drain You,Nirvana,spotify:track:5Ddlk6C2JVxb1SReZ6O1wk
"Sweet Sensation - 12"" Version",Stephanie Mills,spotify:track:0gH5b6yEORRSkqSh2TKmgG
I Heard It Through The Grapevine,Gladys Knight & The Pips,spotify:track:3X0eGPIRJ20txKniu2s6RA
Richard III,Supergrass,spotify:track:3p0rnbnQc8WPJjcMyUsglj
A Beautiful Morning - Single Version,The Rascals,spotify:track:3QwbKe0s8TcNclzXAXHeHy
"Walk, Don't Run",The Ventures,spotify:track:74Qp7hzjPFQZUBMpNDqUIM
Lucille,Little Richard,spotify:track:68N3Xhe8s9SYPpEmqqpg07
My World Fell Down,Sagittarius,spotify:track:63Zb0epU5ysyvDa72Jm4I1
Tantos Deseos De Ti (Tanta Voglia Di Lei),Silvana Di Lorenzo,spotify:track:5oFBt0ZdqHtnvN6rWwAHhl
Unchain My Heart,Nancy Wilson,spotify:track:7mrPGIjhcOsKdOF7Ajjf6r
F Train,Rein Sanction,spotify:track:3sByym1s2Yv0RxZvElqcw6
Then Comes Dudley,The Jesus Lizard,spotify:track:3SqwJSZ2AGgSuTUqicyXvJ
Speed x Distance = Time,Blonde Redhead,spotify:track:1H6UmJsGnhRYm7ovSLxdFE
Body Music,The Strikers,spotify:track:4NICmpWRO0traWh8pemNsR
Alone,Downface,spotify:track:26C4dNjoAxFk6PhZGeuyGO
Alligator Bogaloo - Live,Lou Donaldson,spotify:track:3dqVux5eBVhi72AsQupGGV
Constitution,Bazooka Joe,spotify:track:55rL4cPJdiqZxA8gP1sWa7
Swallow,Hammerhead,spotify:track:14boYRbhNDXsp9SBdXX9RN
He's So Fine,The Chiffons,spotify:track:7te1MPtFmQ8iq6ErbTx8Na
Peanut Vendor (El Manisero),Anita O'Day,spotify:track:0Le9Ot5BsAEwB2qy0Q58Bk
Time,The Essence,spotify:track:0yVCg02l6N8o9rJ8nKjiJD
Spectra Sonic Sound,Nation of Ulysses,spotify:track:7yJzNpEsKBjDgHmChwPY9t
The Only One I Know,The Charlatans,spotify:track:17hdos7cv1vAvcfoTU4Pym
No Time Like The Right Time,The Blues Project,spotify:track:7Ai4qIKyxcBCcKAz4AtGxo
Don't You Love It,Maxine Singleton,spotify:track:70e17yxZ8PBZShMPuWRiNa
French Kiss - The Original Underground Mix,Lil' Louis,spotify:track:7hnqJYCKZFW7vMoykaraZG
It Ain't Necessarily So,Grant Green,spotify:track:59cZoQolK49mpslwfhkN7f
Stop,Jane's Addiction,spotify:track:7F0dwqgKzlaIRrngChBRAc
The Prettiest Girl In The Wolrd,Television Personalities,spotify:track:32Pfp5HrfLlf65FeXYAuFp
Beautiful Ones,The London Suede,spotify:track:1H2MJXZAPSYNOfmnyE3kcD
Stop The Rock,Apollo 440,spotify:track:2P2WxNOdEjjJ98dIeajyqu
Lions (Linden),Pavement,spotify:track:6CkXY8qdkMugm483T5t96c
I Melt With You - Rerecorded,Modern English,spotify:track:78ocJAEFOYKVjYgXZ8fggD
Airplane Rider,Air Miami,spotify:track:0utiGqPkLRWIKLdllrHkDH
Saving My Ticket,Superchunk,spotify:track:7edItt0Jfca4PuPDQfEcJG
San Franciscan Nights,Eric Burdon & the Animals,spotify:track:7HgvOarjz4hTGBssqQyNlV
(They Long To Be) Close To You,Gwen Guthrie,spotify:track:16042JGTKvVDOkyQ7tOI3Z
I Want You Back,The Jackson 5,spotify:track:0PGwM5vdr5fMejx0IIAYXj
"Promises, Promises",Naked Eyes,spotify:track:3kcikn08ZWSgRvvXT6yeKY
The Emptiest Arms In The World,Merle Haggard & The Strangers,spotify:track:1xct386v2siUTYwIoR8DAn
Soul One,Blind Melon,spotify:track:3uNDPS8AMIgsDiDQ14cRId
Obsession,Animotion,spotify:track:3N7GqZMpZJW69Te1bfUTc3
Les cactus,Jacques Dutronc,spotify:track:4IO92oN7CBOKruobrRca0I
Hell Patrol,Judas Priest,spotify:track:6QKplS12OIhLVzbfCOLesv
Red Light,Deep Blue Something,spotify:track:2Vpixe8tv2OQMGZlC6UeQy
Itsy Bitsy Teenie Weenie Yellow Polka-Dot Bikini,Brian Hyland,spotify:track:3Aug2RunJbjGiz2CTtWu5l
We Don't Know,The Attack,spotify:track:43ts5S8Z2rNVJTZ9qE8hVS
Loaded,Primal Scream,spotify:track:7dSBZzVmyBaLDxT2v3EJHB
No Frills - Club Version,Taana Gardner,spotify:track:0JKOsrcrLXrEJ0ogjfMJuf
Busta's Lament,A Tribe Called Quest,spotify:track:4R8XY2fcKNW4zNug9Y1WLJ
Foolish Action,Birth Control,spotify:track:5Bf2gob6dTsKyrlZ0X9c0K
Olhos Coloridos,Sandra De SÃÂ¡,spotify:track:3WbQeVrXDcwRh0oue6ouy1
Little Demon,Screamin' Jay Hawkins,spotify:track:4H6wEpmIQqfQI9xgePxANM
Singing in the Shower - Remix by William Orbit,Les Rita Mitsouko,spotify:track:7HWi6ocOw3UFe84M0dGQBt
Mann's Chinese,Naked,spotify:track:18sifcwB7UP6tNUe70i8NX
Little Boxes,Pete Seeger,spotify:track:4VJrTc5QPr13zgkwxaTjjN
6 Underground,Sneaker Pimps,spotify:track:1DDrG8GgDok5bOiykuAKjC
"In Private - 12"" Version",Dusty Springfield,spotify:track:0hxJDpEZzyasDeZGMbbhde
Avalancha,Heroes Del Silencio,spotify:track:2QWiLP3WiFMtmJ08nUTWUC
Native Son,The Judybats,spotify:track:1jbdYYTUWUwDt6Yriizmv5
Be-Bop-A-Lula,Gene Vincent & His Blue Caps,spotify:track:0TMrV95mP7sDlvbE4iVfKP
Temple of Love - Extended Version 1983,Sisters of Mercy,spotify:track:6ADyVHLIyY1sOLmEANictY
Rollerkoaster,Railroad Jerk,spotify:track:1jD8kIqm3ztLjfqRPdEVpF
Summer Is Over,Frank Ifield,spotify:track:4xknvgVCoOS1rHmewTAqk3
We Die Young,Alice In Chains,spotify:track:5Ds35L9KpUDKgSxZ6whuoQ
Waitin' in Your Welfare Line,Buck Owens,spotify:track:1gk3hBGIS8JaDOYDNQwvr2
Rock 'n' Roll Lifestyle,Cake,spotify:track:4tRkMAL93DFmaMDUHOHuBH
The Pharaohs Love Y'all,The Pharaohs,spotify:track:0MGT4NaMOMFKeg2rEYg4GX
Ileso,Control Machete,spotify:track:1ARifmfUe56dVQS6xBZgLr
Come Make It Feel Good - Tee's Mix,Somethin' Special,spotify:track:4puMf9AYOlABGB6Bdag7G1
Dress,PJ Harvey,spotify:track:2VuQyUR0ZbSsefYESWN6L1
Malaguena,The Trashmen,spotify:track:31DIIFuzt511b93pem1OIu
Fast And Frightening,L7,spotify:track:7uBXMQTKxqV0Hj1chgZ16i
Flower Lady And Her Assistant,The Seeds,spotify:track:0RXvguUwzYAlEaZO12t5nw
Jimmy Olsen's Blues,Spin Doctors,spotify:track:7qvQ7DE4y66arCPiPMDCOL
Hard To Say I'm Sorry,Az Yet,spotify:track:2OWzR8QoH7KaLtiN65v32x
Peace Of Mind,Blue Cheer,spotify:track:1qysSMZfHDeptbAgwnjGsp
"Every Time I Close My Eyes (with Mariah Carey, Kenny G & Sheila E.)",Babyface,spotify:track:2ezqQeBiC72gwMJoO4w1hA
Crazy over You,112,spotify:track:1ccgfX1rFVEzJqdA54jUyY
Libertine,The Buck Pets,spotify:track:5ZUoItidGZPHuyxYzPAlNi
Piranha,Tripping Daisy,spotify:track:1vqw24tqUeqKtTA8fiPccF
Superbeast,Rob Zombie,spotify:track:4eNnMvUrSu2TRpySjVC0Pv
Don't Damn Me,Guns N' Roses,spotify:track:4BZdQn690mETPLKmNDhbGi
Billys Fiver,Bazooka Joe,spotify:track:78gRX8k164DZd0Tnc9mXE5
Got The Time,Anthrax,spotify:track:62rSF7anVnDAmc9Vnmb7cH
Why Don't You Get a Job?,The Offspring,spotify:track:5JzF2iymNwCyFz9MTmojd0
Every Breath You Take,The Police,spotify:track:2PnNomkEqlg9ADKCVG0Wt0
Don't Give It Up Now,Lyres,spotify:track:4Pey0ilsej6MgObBooTWRh
Free Will And Testament,Robert Wyatt,spotify:track:3k3EbeJ7q1Daqqqm2WfBAR
Shy Town,Lois,spotify:track:7jYi1emPcdidJ68ZxOFBE8
Ecstasy,Rusted Root,spotify:track:5V54hLsu5prUN9ThbwQFQ5
Things Got To Get Better (Get Together),Marva Whitney,spotify:track:3KwQzFIMZu7NDAT2f34yeP
Gatinha Manhosa,Erasmo Carlos,spotify:track:2yxkFrtoVuYU58Fya583hI
How Do You Feel,Vanessa Daou,spotify:track:4PAHPSYyYRpsKRyGO2Bu4m
Things Can Only Get Better,D:Ream,spotify:track:5HmwYfynpGAjgrj4bp9eMy
"You're Sixteen, You're Beautiful (And You're Mine)",Johnny Burnette,spotify:track:5V27UQOURZROSg3UCoHOGe
Home For A Rest,Spirit Of The West,spotify:track:41hzhXfYJYVFWF21JrmkA9
Mansize Rooster,Supergrass,spotify:track:5afa3W4rCWxEWeXW3hWMRe
I'll Never Fall in Love Again,Burt Bacharach,spotify:track:5aYR2yKYdcWxX7gAO2CYps
Pirate Love,Johnny Thunders & The Heartbreakers,spotify:track:3Z69QJNqxE85Pe1TonrLh9
The Day We Find Love,911,spotify:track:1aqGEA5h6OyeTOjamOqQdB
Tears On My Pillow,Little Anthony & The Imperials,spotify:track:2iRX4AaTdS6xsgVxUOnP4h
Es Mi Vida,Adamo,spotify:track:4CAEWXTwN3C98kxU5fHicC
Blinded By The Light,Manfred Mann's Earth Band,spotify:track:7nfiM8DuaSJ61KaerHchcA
Do You Want to Know a Secret?,Billy J. Kramer,spotify:track:5CgLuHE3B4mKTI2yIDXaXR
Get Up I Feel Like Being Like A Sex Machine - Pts. 1 & 2,James Brown,spotify:track:6hpmTwgNCz81H2bFEREx29
Only Wanna Be with You,Hootie & The Blowfish,spotify:track:1OFKUn2VLafrHj7ybnap0Q
O Amor En Paz (Once I Loved),Duke Pearson,spotify:track:1ipvFATieZMmvsUiFAPUni
Good Riddance (Time of Your Life),Green Day,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ
Hey Leonardo (She Likes Me For Me),Blessid Union Of Souls,spotify:track:54v6i8c1hAFyJ85JwdCE42
Happy Together,Mel TormÃÂ©,spotify:track:3o7oav9eFwNYla7rrAjcyn
Bulls On Parade,Rage Against The Machine,spotify:track:0tZ3mElWcr74OOhKEiNz1x
My Iron Lung,Radiohead,spotify:track:4dPKQxaraW6CG1rTBzV6DW
Banana Juice,The Mar-Keys,spotify:track:1fds0qJNxftzSnj32mhBrj
Word Up!,Cameo,spotify:track:3adhbEVEbvZfyjoXt3g5tx
Don't Break Me,Samiam,spotify:track:70CKCXUax4p59y6tEQzsrK
Trailer Trash,Modest Mouse,spotify:track:0WkhmPY4bLSi1Lvtw72jiO
It's All In The Game,Tommy Edwards,spotify:track:01OFUZ8btJxFI6n5igQUqx
Electrical Language,Be Bop Deluxe,spotify:track:4MHwLBtBYMIOSZ9xzjr7y6
One Inch Man,Kyuss,spotify:track:1WPAQR4AGJq9LmZOI6KEax
What I Got,Sublime,spotify:track:3oVSsJXNADnYAnZWiEWFJH
Time Bomb,Rancid,spotify:track:5kxxhOkxd7j57e7oL121gI
Sweet Sexy Thing,Nu Flavor,spotify:track:4C1F2wkwri8EVTKoB24PbW
A Golden Handshake For Every Daughter,China Crisis,spotify:track:2I8TpcPjvZ3F0INK9JT38f
"Guitar Solo, No. 5",Neil Young,spotify:track:1JxRExof2R93NuZsH2jzR6
Goin' Out Of My Head,Little Anthony & The Imperials,spotify:track:59sN2XKuaRfT98xMvhSctl
Pseudoephedrine Hydrochloride,Steel Pole Bath Tub,spotify:track:0iYh6LadhVRbPeHXhVK9QT
You Put A Move On My Heart,Mica Paris,spotify:track:3AIW4JQkUWWVfCwnOVbeeO
Winona,Drop Nineteens,spotify:track:466AJPxaIUvU13wQ40g2YQ
Personality,Lloyd Price,spotify:track:5vjigjfoXuJEttqLB3HTAg
Mr. Jones,Counting Crows,spotify:track:5DiXcVovI0FcY2s0icWWUu
Gangsta's Paradise (feat. L.V.),Coolio,spotify:track:3u9fHuAtjMY1RW2mZfO4Cf
Annie,Elastica,spotify:track:6GH7rZ4T8uwV49rcKWqoot
Go Away Little Girl,Mark Wynter,spotify:track:5OZpnIMpoWhKl3X3fiLHY3
Turn Your Love Around,George Benson,spotify:track:2QvqY0iSduwzUq9tchHPNJ
We Are the Young,Dan Hartman,spotify:track:4R9PY7rOJuI5lWAK73lTaD
Ezz-Thetic,Grant Green,spotify:track:0vNy3xhKPSrErUh3eSCtBA
RPM,Sugar Ray,spotify:track:125Y5UGEaFtoIsOZxZDctX
Shoot Your Shot,Divine,spotify:track:2EaQWJlYacDL5Nrw8RnHFa
Hyper Enough,Superchunk,spotify:track:6LubXT2S57flX6tPBwSWTx
Sit Down,James,spotify:track:66IC0uXoVyYT5q3R27bbZy
Go! (Club Mix),Tones On Tail,spotify:track:6jUtVy8AXICRmH85U3QjQU
Brimful of Asha,Cornershop,spotify:track:63q6YV3Upkq5k3ZOu8tJ1A
Who Knows Where The Time Goes?,Fairport Convention,spotify:track:1kxtStKyjUkbPqMZXh5i4q
Hair Of The Dog,Guns N' Roses,spotify:track:1kq4BX4zZHyr4O5cJGcduh
Let True Love Begin - Previously Unreleased,Johnny Maestro,spotify:track:4ZSCJm0KCPhxEYYuueznHN
It's Hard To Be an Egg,Eggs,spotify:track:5YWTnxTiwvSh7KvCA6qyCW
Beautiful Life,Ace of Base,spotify:track:74jTexO94dFGyXGyeu8krd
Black,Pearl Jam,spotify:track:5Xak5fmy089t0FYmh3VJiY
Anemone,The Brian Jonestown Massacre,spotify:track:5KaCn0CGbo2Mynq5VSgSya
Just One Fix,Ministry,spotify:track:0Vcpo9El50PNNbZXfKbNti
Try Jah Love,Third World,spotify:track:3tiHZqBb3M6P1G1QREASeQ
Gotta Serve Somebody,Booker T. & the M.G.'s,spotify:track:08i2zspoPPRK26pXoFkamD
Between the Lines,Bullet Lavolta,spotify:track:0qKYLUl3uOHEHXbmxtooXS
Ridin' High,Ella Fitzgerald,spotify:track:0mbcFRq4ltqesNbbywKqQM
Low Down Freedom,Billy Joe Shaver,spotify:track:3jgF8bA8FQgzU1SmG10LY3
Foolish Thing Desire,Daniel Ash,spotify:track:09VvKlNFoLSvS986hbsPJm
The First Day Of Spring,The Gandharvas,spotify:track:3KrR1T5t0hfYuz4DFoBrlF
Road to Nowhere,Ozzy Osbourne,spotify:track:0gXMYs6RDg5muWWoi2q3mb
Shakin' All Over '65,Johnny Kidd & The Pirates,spotify:track:33v9LR5O4fraZyHKdESGUN
Feel My Love Tonight,Stacy Lattisaw,spotify:track:1Z0yAmV2YUHjoWQ3JmlMWi
Bert's Apple Crumble,The Quik,spotify:track:1QSEYYt0nChExxn9Vtt3bv
American Grotto,The Wake,spotify:track:505m5TUBYZrKc2gXH2xITE
Shitlist,L7,spotify:track:7fxpqs4G8vj3rFYbJnsG7w
Cure,Metallica,spotify:track:7nCbY78AePDycLhcFgKDIA
"Ride, Cowboy, Ride",Billy Joe Shaver,spotify:track:00S7soLv1duo8pX4EFrCLe
Pretty Song From Psych-Out,Strawberry Alarm Clock,spotify:track:6WdGZoDaV4gt1SSQ9PPnL0
State Farm,Yaz,spotify:track:1tnmTDMeHRGAf0kSvkNAgO
"Pavel Chinezu, Leat 1479",Phoenix,spotify:track:0aPpqm3PZC2ROJJD5EGnpq
16 Candles,Johnny Maestro,spotify:track:3Timk4Wy8wnJDCfq6O7YDW
Dizzy,Tommy Roe,spotify:track:3jJKKhg0t4HpdfNDyGiZDy
Ahead,Wire,spotify:track:2uiUhlBXzPTc1WA1Rcr3yy
Rescue Me - Single Version,Fontella Bass,spotify:track:6TcAIoLZShiaCUQSnWW4Ve
Lady of the Night,Ray Martinez and Friends,spotify:track:6XUHmZ0EEcgFZviDy1n6NT
I Ain't No Nice Guy,MotÃÂ¶rhead,spotify:track:4cmC2SW1RVZusILirCrsCs
Licking Stick - Licking Stick,James Brown,spotify:track:5HnTmL8aUqbhjg44CKn5N7
Kid's Garden,The Brian Jonestown Massacre,spotify:track:3uutbHBkhlr02d14VkbU9D
Makin' Music,Gary's Gang,spotify:track:3cg24KUEp63n8FHD6X3cwa
Person to Person,Screamin' Jay Hawkins,spotify:track:5HJwsZ5gaiIEHMc9nivwtE
Who Was In My Room Last Night?,Butthole Surfers,spotify:track:6DVNQXL9LRzKq8zjyFEuTC
Hey Jude,Paul McCartney,spotify:track:0Pz83v0PNGpiBx1tGi0rkY
Smooth (feat. Rob Thomas),Santana,spotify:track:0n2SEXB2qoRQg171q7XqeW
Time for Action,Secret Affair,spotify:track:5A0bQ9QTWbU0qOl6vrFZXB
Ode To My Family,The Cranberries,spotify:track:1eQuRtkMEPhf2DGzpBVTE6
Pony,Ginuwine,spotify:track:5FR54UnizyI8pE5E9Zb0Dt
When You Love Someone,Anita Baker,spotify:track:2zAZG31uyjPNjngfnPxH6t
I Just Called To Say I Love You,Stevie Wonder,spotify:track:6RNDeRnWsRMjPdNVgupZCs
Love Take Over,Five Star,spotify:track:5CZnie5eXX6my2lSlEBsia
Cold And Ugly - Live,TOOL,spotify:track:7ajn3mKu2DP8CoqzpHEr1d
Again,Janet Jackson,spotify:track:0IaMMHVbpJ0LrRAeigWOXr
The Bubble Bunch,Jimmy Spicer,spotify:track:0gWkWJsAPpXi0Mztg5xcUc
Fell On Black Days,Soundgarden,spotify:track:6B4JGMaqe1LaEMlsVzNdNM
Jenny Take a Ride,Mitch Ryder and The Detroit Wheels,spotify:track:3MyFpXcehGzFDz0aDuogd1
Empty Heart,MC5,spotify:track:0iVSKOlHClqysQ0a4IvqUE
Let Me Be the One,Five Star,spotify:track:7Ly6unSf5gXUdF3S3nGlSH
I Got You (I Feel Good),James Brown & The Famous Flames,spotify:track:3cixmbMZh6j5M27KTZFg79
Downtown,Petula Clark,spotify:track:0X04tUv7mLsFM11MTaVeQ3
Radiation Vibe,Fountains Of Wayne,spotify:track:3XApt3UvXtv8y9S6DrAxCL
Tune Up,Grant Green,spotify:track:4KODvA6t6YBktntIxy1QEG
Party Time,Kurtis Blow,spotify:track:5bc1kaUqSKCmSJ75HoCOgz
Transylvanian Concubine,Rasputina,spotify:track:32ld9N8e1101MHfc1vNPIV
Common People,Pulp,spotify:track:2fXKyAyPrEa24c6PJyqznF
Mis-Shapes,Pulp,spotify:track:7IgHTB9VMPwziPobbBbgfq
Iron Cross,The Untamed Youth,spotify:track:2FcC6256If5n3nI00pfN1I
