HÃÂÃÂ©roe de leyenda,Heroes Del Silencio,spotify:track:6pAvXn45z0sktftypuEEzt
Old Flame,Alabama,spotify:track:5zyTd9wvMWASK3TDJglmDi
Givin' It (To You) - Special Mix / Bonus Track,Skyy,spotify:track:1MMGedVivu3GmZ96im7aI4
Twenty Five Miles,Edwin Starr,spotify:track:6zpOu65vJLr3v6Wl6PbDHo
Suddenly (feat. Cliff Richard) - From the Movie 'Xanadu',Olivia Newton-John,spotify:track:43O6SPP1QVOA2hlrByEu5W
No,The Wedding Present,spotify:track:500VWtZYSdgWHJImKQotFe
"Damage, Inc. (Remastered)",Metallica,spotify:track:5PZ03nZ4rF3dG1QH7NeXMp
In New York,Passion,spotify:track:6VICxCpqXA7pdNte8SynR2
Chains,Teena Marie,spotify:track:5Eyo0vBMioVLGkFnpu7o6v
Confession,The Colourfield,spotify:track:4xOow7rVRAnqTrU3CNvBYy
The Wires Are Down,The Blue Nile,spotify:track:1puIZruu6LW57S27L2WDjN
Don't Leave Me This Way (with Sarah Jane Morris),The Communards,spotify:track:0ire4j2mcGovF5JA1D2cTp
Big Hollow Man,Danielle Dax,spotify:track:2MGFJQ0XmEC4mR4yNx9LJa
Let's Play House,Jaz-O,spotify:track:1wWYMv3Y19kOnv9jyZp4e9
The Girl Is Fine (So Fine),Fatback Band,spotify:track:24AMJSmGZ7QoaSBcVarYIJ
What's Important,Beat Happening,spotify:track:4Cl7PGkgUy6GxyMeJAer5Q
Honey Be Good,The Bible,spotify:track:0s6iS2J9wQUsXgtdVncNdW
Opening Titles Including Underground,Trevor Jones,spotify:track:1ae7ziB8YiV2U9TyjSic58
El Corazon Es Un Gitano,Nicola Di Bari,spotify:track:7nxkNNVzWpuoBHSBoeKoYJ
Causing a Commotion,Madonna,spotify:track:3sX3c6QUPSAiKf77RZRf5B
Under the Milky Way,The Church,spotify:track:06J9PztWGsTugJg1ZIb7MW
A Spy in the House of Love - Extended Remix,The dB's,spotify:track:39OWz8dkd1C4OYAnW6fLpT
Just Let Me Be Close to You 64 Bit Master,The Valentine Brothers,spotify:track:2MrY49KwBCEGgc9Q3gBwQd
Hello Again - Remix Version; 2017 Remaster,The Cars,spotify:track:7wN9IXI2wfz8sZHQGONPvt
Buffalo Gals,Malcolm McLaren,spotify:track:4gCo2r1gCEw70OAq9cF1uW
I'll Keep on Loving You - Extended Version,Princess,spotify:track:77RZgSUci7LqUSWT6jX82z
"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,spotify:track:2avaSeKHI5l4sLruVfLdi2
I Just Can't Shake the Feeling,Ava Cherry,spotify:track:7M17BLW43O15gygrmUFMag
He's Just a Runaway,Sister Sledge,spotify:track:6TLVkxyKPI75uETE67880Y
Tar,Visage,spotify:track:3Qa1T3utGYMPQ5lfALE0wq
Overdue,Tyrone Davis,spotify:track:1dvke12GP4ZicOgRY3VZV4
I'm Every Woman - Remix,Chaka Khan,spotify:track:10fe3bgaIeRwXnuTljAfbY
Show You My Love,Goldie Alexander,spotify:track:73vSSwwWwr3AEbu1OHdqY4
Say You Do,Janet Jackson,spotify:track:1jHMrNwkX129QnKUByjHtn
Rock You Like A Hurricane,Scorpions,spotify:track:2TFi29E9X6MPc05Vyfzout
"Give It To Me Baby - 12"" Version",Rick James,spotify:track:01oG4p8vYvsWpOk0gsxSq5
Eternal Flame,The Bangles,spotify:track:4xiaE15ARCs5CVPA6J8gmC
Eye of the Tiger,Survivor,spotify:track:2HHtWyy5CgaQbC7XSoOb0e
Sora Ni Mau Maboroshi,Mariah,spotify:track:5Wku2SJFnfMiVsHLxcYGbB
Way Out - Remastered Version,Steve Arrington's Hall Of Fame,spotify:track:5DZZLV0W4RF3wghLHe1Onf
Static,Planet P Project,spotify:track:7CUdOt7ybc6jWx4jRyzKde
Eminence Front,The Who,spotify:track:3Ml4wVs02wZYbNk5YJikdM
I Wanted To Tell Her,Ministry,spotify:track:24Upu7Ne9xaHYr4vnw1jqI
A Little Bit Of Love (Is All It Takes) - Extended Mix,New Edition,spotify:track:5Xyvly56qugv3k5Y95eQ9t
John Wayne Is Big Leggy - Groovy Long Version,Haysi Fantayzee,spotify:track:3SDOYBsvj8UbziQq1B88EJ
Hanging On a Heart Attack,Device,spotify:track:5hsC00g3JK5ZvWlBOZOUQi
Peace Sells - Remastered,Megadeth,spotify:track:5a2hIQWInPjqkkFiUEgxoX
Hot Stuff,Donna Summer,spotify:track:6RVevoPzbGygqvm6LxHAuf
Music - Remix,D-Train,spotify:track:250GtOY5Cw4x2mrM369mrQ
"Life In Tokyo (Pt, 1) - 7"" Version",Japan,spotify:track:6Wmoh9cFloUGU5HBhzZl3I
Yo No NacÃÂÃÂ­ para Amar,Juan Gabriel,spotify:track:5x45XdMQ6rgqIUVadroUvS
Insecure Me - Extended Version,Soft Cell,spotify:track:3Iwc6zjEkWFKbYI2EQw3Gk
I Love a Man in a Uniform,Gang Of Four,spotify:track:2o4O4AJgwbiWUVVXQ0sq7O
Never as Good as the First Time,Sade,spotify:track:5YFHL9JR0zirb0wAre9khT
Loving the Alien - 1999 Remaster,David Bowie,spotify:track:3GuouEexhZAdkXCNZMP1bR
Cool It Now - M & M Mix,New Edition,spotify:track:5I3y6D9W6xj9JzzDLwB0vk
The Heart to Break the Heart - Remix,France Joli,spotify:track:2i2PxZSJSatJuK9BxGcLO8
The Groove,Rodney Franklin,spotify:track:1WFPTf7PV29lWVowZBGI83
Never Gonna Give You Up,Patrice Rushen,spotify:track:6qDUaWhOkfO9xq3b32ZgFU
Traces,Classics IV,spotify:track:1I4MNCfafprkJ1z2UCqOW3
So Alive,Love and Rockets,spotify:track:5BMH89lz5tHLR1kQOBNXdM
The Only Way Is Up,Yazz,spotify:track:5nlwajOutaUfiSayarrZTy
Birds In My Tree,Strawberry Alarm Clock,spotify:track:1TVjg4keVBOQXuHA7LH0EK
High Time,Nia Peeples,spotify:track:3NiLncKxUQQFl9Des0fXgx
Hysteria - Remastered 2017,Def Leppard,spotify:track:6EzSduIPnAmO3o41HY5V9d
Stop And Smell The Roses,Television Personalities,spotify:track:5lsy34LBfFKNe1czDL8E8K
Modern Love Is Automatic,A Flock Of Seagulls,spotify:track:5KQc6OiD3GIiV4g9LPWs4a
Palais D'Amour,Bal ParÃÂÃÂ©,spotify:track:3v2fZOun1eeAyqLX88NCkm
One For The Money - Dub,Sleeque,spotify:track:6kSewsnmr4QtgLNJxjrLWN
In The Dark - Remastered,Billy Squier,spotify:track:2dgjjOdz8qnGXLos9xbNNV
Allright Tonight You'll Be a Woman,The Petards,spotify:track:47WDIpqOEfbRLEABHBpmMo
BODY SNATCHERS/ÃÂ£ÃÂÃÂÃÂ£ÃÂÃÂÃÂ£ÃÂÃÂ£ÃÂ£ÃÂÃÂ¼ÃÂ£ÃÂÃÂ»ÃÂ£ÃÂÃÂ¹ÃÂ£ÃÂÃÂÃÂ£ÃÂÃÂÃÂ£ÃÂÃÂÃÂ£ÃÂÃÂ£ÃÂ£ÃÂÃÂ¼ÃÂ£ÃÂÃÂº,Haruomi Hosono,spotify:track:1X9Mfa7sBkD93zGI2IuKDi
Romeo Where's Juliet?,Collage,spotify:track:79cY8RW8BvPluk77Wvr69i
THE BRIDGE,Cactus World News,spotify:track:4EAaKnm1GGGpPhxVGY5M1I
Fred + Andy,Thick Pigeon,spotify:track:48eMc0OZg73CXko9lny05h
Git On Up,Fast Eddie,spotify:track:2R3UG06L8WBC45d3dOxahJ
Close (To The Edit),Art Of Noise,spotify:track:3t295lJkdYDfunk8SlllXl
Gouge Away,Pixies,spotify:track:1YZDkJOFT8xlAXDi8lneb3
Devil's Child,Judas Priest,spotify:track:45oZ8f61XQ9W83B7jWxvp9
What Becomes a Legend Most,Lou Reed,spotify:track:6Y3WFmYUkDAer05cMrkP3R
Penelope Tree,Felt,spotify:track:7aYGL3kiWITJlJqCdGWybZ
Maniac,Michael Sembello,spotify:track:1xPSDf8z4dH46gkvlLtvDO
Silver Screen,Toronto,spotify:track:3H2WP50Fz670ysZfnrzDbt
I'm Losing More Than I'll Ever Have,Primal Scream,spotify:track:3jEJQGprFXpeICSRtPKGDc
Love Plus One,Haircut 100,spotify:track:4vwLjB2NRtl9b34jRe6cWd
Stranger in a Strange Land - 1998 Remaster,Iron Maiden,spotify:track:3kcRddAVbPXbud1S1irLk2
You Spin Me Round (Like a Record),Dead Or Alive,spotify:track:7uHO4AmKtyGa5v5fsElGoC
The Great White Hoax,Julian Cope,spotify:track:326sISP89QdljrczNBxK2a
White China - 2009 Remaster,Ultravox,spotify:track:1MwzRls1swRc1b44nwdG0P
Yes We Can-Can,The Treacherous Three,spotify:track:0wynCE6mNIiGnzIbYzmuXc
99 Luftballons,Nena,spotify:track:6HA97v4wEGQ5TUClRM0XLc
"Dynamite - 12"" Version",Jermaine Jackson,spotify:track:38UD496Pr1GtMUyIZbp6or
White Wedding - Part 1 - 2001- Remaster,Billy Idol,spotify:track:4zmx3vEPgRPjRT2CszUsZo
Sign of the Times - Remastered,Madness,spotify:track:2OSrUIPtuh9XopCpmZfhct
Jump - 2015 Remaster,Van Halen,spotify:track:7N3PAbqfTjSEU1edb2tY8j
About A Girl - Remastered,Nirvana,spotify:track:0zeqKbySjKbfW5jyl3PMsW
88 Seconds In Greensboro,Orchestral Manoeuvres In The Dark,spotify:track:3h8dVtvsLgJp8PvJcPEpOw
Just A Mirage,Jellybean,spotify:track:0sUuI0HJGnnLmHGzhVCm0l
Six Months In A Leaky Boat,Split Enz,spotify:track:09SyWMKQWtzvMdaSKQFwxN
Tulsa Time,Don Williams,spotify:track:5BTUfUNq9sa7OUbles1qvS
Twilight Zone,Golden Earring,spotify:track:5DPpbYqJi4OfgnV8fz1JsQ
Waiting On A Friend - Remastered,The Rolling Stones,spotify:track:28Mvd3LoUjOfdxPRxXMGlV
Lady Shave,Fad Gadget,spotify:track:2x3hj1Y13NXv2cKHck0B9B
Deep Ocean Vast Sea,Peter Murphy,spotify:track:0K1ThRqu3v8H4fj6I5rbhZ
Are Dil Se Dil Mile - Instrumental,R. D. Burman,spotify:track:1NR3YGKGSubPvqiPnHJgA5
Synchronicity II - Remastered 2003,The Police,spotify:track:5N1719oH5ftLWiKOgWOCcE
You're My Magician,Lime,spotify:track:60IBQKLutIDk3qZzU8jxj4
One in a Million,The Romantics,spotify:track:6Kzi4F77twuPRkNhxonUET
The Imperial March (Darth Vader's Theme),John Williams,spotify:track:2bw4WgXyXP90hIex7ur58y
Make It Last Forever - Larry Levan Remix,Inner Life,spotify:track:2u19SaW2szsUMnpe3fMTMX
Paintwork,The Fall,spotify:track:45Q99FXctkfWDpVToWHUHe
Hit Me With Your Rhythm Stick,Ian Dury,spotify:track:2ee9kqcX5qVkZwQmeJZVVC
Highway 40 Blues,Ricky Skaggs,spotify:track:00q5WecTMx63FLxTeFvLcd
Leper Messiah,Metallica,spotify:track:2GdgR5kZgBgH4eQzvOgc1g
Jumpin' Jack Flash,The Rolling Stones,spotify:track:4MROLfvNGAu9zAfrq0pIJ2
Only You (And You Alone),The Platters,spotify:track:0S8ibKBl3tjRmYbZhGHNhG
Principal's Office,Young MC,spotify:track:2t8tS2m4ay8trF9rh28oLg
New Dimension,Imagination,spotify:track:5czOaqnkRpBy9HjhK1gYkr
Take My Love - Long Version,Melba Moore,spotify:track:57cl0honz15U4kjgAgTuyo
Can't Live Without Your Love - Airwave Mix,Suzy Q,spotify:track:4rhHbnhTMkfcFN5FedqTTn
Lose Your Love - This Club Mix,Blancmange,spotify:track:29KDumz7QN04eCLQlyv9d8
If You Don't Like Hank Williams,"Hank Williams, Jr.",spotify:track:0a7wB0httVtZ84hsZT057w
"Like An Animal - 12"" Club What Club? Mix",The Glove,spotify:track:5mPXyYd6BD2Q97g85dMnN5
Holding Back the Years - 2008 Remaster,Simply Red,spotify:track:1yg7fwwYmx9DQ2TdXUmfpJ
I Need Your Loving - Extended Version,The Human League,spotify:track:7LnATbU2MRHabSRxjQ4Uw1
Hit The Lights (Remastered),Metallica,spotify:track:4OH1lqC4mx1ja8RkXMOmRp
Welcome Home (Sanitarium) (Remastered),Metallica,spotify:track:5Nu6hybktveVXtgD7hDLVD
All World Cowboy Romance,Mission Of Burma,spotify:track:6yGRchcVKTJS41znDVixpm
The Affectionate Punch - 2016 Remaster,The Associates,spotify:track:4DIMZSvm5NJWro5EAI9Rh0
The Shortest Straw,Metallica,spotify:track:3ULvzZ5AGeGfhpcJVM7vT1
Half a Person - 2011 Remaster,The Smiths,spotify:track:3ccAZx3wLZDVB2Nq6rikf9
Cocaine,Eric Clapton,spotify:track:78c9q3kShjz8XjycnjnEbu
Ai No Corrida,Quincy Jones,spotify:track:0SzAKZYTUvDLqlPgllEb3N
Jody - Dance Hall Version,Total Contrast,spotify:track:6fnKm6DhUBP8fpYhvkKr2M
Eyes Without A Face - 1999 - Remaster,Billy Idol,spotify:track:6qI1KfY3nomDW1s0BrUInE
The Fashion Show,Grace Jones,spotify:track:2izkp4u9Uxxy6pIX1kZpvo
Hang Together,Odyssey,spotify:track:1VyzLNcRqpVaEhbqjYOPdF
Miss You,The Flirts,spotify:track:5YyIV5sLBkKEFbc38vJzSB
"Peeping Tom - From ""The Last Dragon"" Soundtrack",Rockwell,spotify:track:0wp1SNFIM1ZMundITk1j7D
Bedsitter,Soft Cell,spotify:track:1liUMPO0dLFqLO4N78qqIj
Leper Messiah (Remastered),Metallica,spotify:track:6yyionnLDzrrSET4pGoFSX
Gotta Find a Way,Zena Dejonay,spotify:track:4RDJ8OQI06JBHBi3BXJsGu
Kiss - Wipe The Juice Dubwise,Total Contrast,spotify:track:509WlXmLs5yW87Y8CHtcUF
Mathilda Mother,Paul Roland,spotify:track:13Uz9AllV7xpWzHGJH6vco
Sledgehammer - 2012 Remaster,Peter Gabriel,spotify:track:4AUS8KNz7zX8XFu9L38GT0
Children of the Earth,Praying Mantis,spotify:track:0un0EK8Qvd3eNYh7BJz2OF
Come Get Me,14 Iced Bears,spotify:track:6pNXRFfvBls9RxRnMsaaCj
Goldfinger,Shirley Bassey,spotify:track:7r0EUONfPUZ8SD1vu4ro27
"Faith, Hope and Charity",Fun Boy Three,spotify:track:7nUC3alMXaKRKjZHhINFqS
I Wanna Be A Cowboy - Saddle Mix,Boys Don't Cry,spotify:track:23NpPydn7H9jxztGE0giwE
In the Raw,The Whispers,spotify:track:2q2Nlr8CN70p93lp0LZyQQ
Still Loving You,Scorpions,spotify:track:0HKOiphhmmShycugrccUoz
Mi Vida Eres TÃÂÃÂº,Rudy La Scala,spotify:track:79xxMqTE68s9EfWbqZk7yE
"Black Wind, Fire and Steel",Manowar,spotify:track:6rX7pbm7SyaEuH6BOpqjEp
"Don't You (Forget About Me) - 12"" Version",Simple Minds,spotify:track:0BrDMbYgKYienYWKOO6jXP
The Camera Loves Me,Would-Be-Goods,spotify:track:61CbXAvoKHEjCq6nyHVOBs
Tainted Love,Gloria Jones,spotify:track:3xeG6lCRLD35JcHvcFDB4g
Channel Z (Rock Mix) - Remastered,The B-52's,spotify:track:7nosDVDzRfczBWekzPx1AU
Castles in the Air,The Colourfield,spotify:track:6xDCaIAmPNsAfDpXMi3Nwg
Just Let Me Wait,Jennifer Holliday,spotify:track:52ILBEtUvIWM8DxS0Vp6jB
Only the Good Die Young - 1998 Remaster,Iron Maiden,spotify:track:0EwVkZNM8H8TdNFHl3LgaV
It's All Over Now - Mono Version,The Rolling Stones,spotify:track:2QgIDBCyBICJXaFi7At6TM
Horizon,Let's Active,spotify:track:0vGTCieaKwhonFTkINSSOF
In Flux,The Snake Corps,spotify:track:50CzgUqEkDIP3c7uIE2E3P
Mind Over Metal,Raven,spotify:track:2pscaeZrFGKJjqE67wSL8S
I Want Candy,Bow Wow Wow,spotify:track:2FMcDUopGfjBh3xMsrm78S
Diary Of A Young Man,Television Personalities,spotify:track:5xaLq7apA05dq6bSCxHnzM
Paper House - 2016 Remastered Version,The Associates,spotify:track:1LuDcJ0BGtYR1RyrDvXBZI
I Hear Music in the Streets,Unlimited Touch,spotify:track:5HgE5eXfu0An2moseSM635
Georgy Porgy,Side Effect,spotify:track:0Johxj8HtfZJMIgXhK97Ak
Real Love - 12'' Extended Version,Jody Watley,spotify:track:0AZMAzZbQlPsOSGVzVbYv0
Shame,Orchestral Manoeuvres In The Dark,spotify:track:5sOdDmQkZlCXJfFruezERb
Don't Break My Heart (12 Inch Version),Safire,spotify:track:4TYo8o3s4oylBF5ttExHGW
Down on the Street (Dance Mix) [Bonus Track],Shakatak,spotify:track:6c3buutxQSyhu1K1jCfWsP
Shoot The Moon - Remastered,Patti Austin,spotify:track:5OCvg0KQJPb7zxMCNxKhTH
Am I Evil? (Remastered),Metallica,spotify:track:4PVipA5hOmX3Su0pQJNt7Y
You Could've Heard a Heart Break,Johnny Lee,spotify:track:4u4bVjQqbEy45n58aaUoAB
Fallen Angel - Remastered,Poison,spotify:track:27kMqdX3aoN3gBndVKlTfR
Ego Maniac,Jocelyn Brown,spotify:track:2TvV3f9EMRUm00c5tHI0nV
Free Fallin',Tom Petty,spotify:track:7woZGXjtaYwuvSoU1zToB3
Thinking About You,Altered Images,spotify:track:0eedKVOxaULv17lGDRtBY9
I Work for a Livin',Fonzi Thornton,spotify:track:0tv6wsZPkQTtAQNEKENojS
Canvas of Life,Minor Detail,spotify:track:4vp1ooSVHvf7DDmlSRfpJ4
Sausalito Summernight,Diesel,spotify:track:2HOQhOWfkg4oFHNY1LD7lf
"Love Will Tear Us Apart (12"" Version)",Joy Division,spotify:track:1ZiZmjep6TYGdNJs6y7RsC
Hey Ladies,Beastie Boys,spotify:track:1X3U53BiZuDRTzz3XCQZnR
Gigantic,Pixies,spotify:track:3oqJ3POeLfa2TJh6BFLhPM
Gates of Steel,DEVO,spotify:track:65Z7fRcwn29IKCXpRS7CGk
Ram It Down,Judas Priest,spotify:track:2MgefjgzhPfBjLdQ0lJchF
Shout - Extended,Tears For Fears,spotify:track:3sjdVbg6UFijbMvKOwmCJr
Saving All My Love for You,Whitney Houston,spotify:track:2KtQEHv44Y1US0iaJ41pRA
(We Don't Need This) Fascist Groove Thang - Remastered 2006,Heaven 17,spotify:track:4sxtnaPl8fzaw4MVZTyl8U
A Little Love (What's Goin' On) - Cameron Paul Radio Version,ceejay,spotify:track:49peVdlpGSbwtY9E0iO0Fd
Is This Love - 2017 Remastered Version,Whitesnake,spotify:track:3qwnfEm2N8lvD9BaJvOfaW
Not My Slave,Oingo Boingo,spotify:track:3LbrkiQ3xkocEwldJ9Jzed
Ski Club,Haircut 100,spotify:track:7fRd56fckbTuCFfnpTAKpq
Romantic Traffic,Spoons,spotify:track:3HvNgSRZVZGa26lrVysEyx
Promised Land,Joe Smooth,spotify:track:796T2ROxTNibXRjVhjSzCa
Love On Your Side,Thompson Twins,spotify:track:6TqkMplIusQbtGghbGXDHn
"Tell You (Today) - 12"" Vocal",Loose Joints,spotify:track:2IllryBU9oFx61KtdM1dqO
You Never Loved Me,Ava Cherry,spotify:track:2xcPcFjOQye3qp9iW9MKNm
Should I Stay or Should I Go - Remastered,The Clash,spotify:track:39shmbIHICJ2Wxnk1fPSdz
Wishing (If I Had a Photograph of You) - Extended Version,A Flock Of Seagulls,spotify:track:1BE0BJWM6EQ9lwiVvRaQ8e
Screaming for a Love-Bite,Accept,spotify:track:67di8AD3Pkshu40iQOjKzD
"More Than You Know - Dance Mix, Pt. 1",Martika,spotify:track:5P1ribJLMZCfAfYgDO9Zot
The Lovers - Extended Version,Alexander O'Neal,spotify:track:7nhwhHG7KPWNbFPV2vMQDB
Bad Medicine,Bon Jovi,spotify:track:3btRbeejnidrYVyJt6J7Gz
Walk Away,Sisters of Mercy,spotify:track:7o3wwWcDjjzY4T5YJdQ7Al
Always,The Adventures,spotify:track:1KnM6UpyG2lRafWuexegyy
Birdmad Girl - Remastered,The Cure,spotify:track:2GEWv6dBcDEPNeDG9sqlnG
Stronger Together,Shannon,spotify:track:3D455I10VDsoILYNgxlIbw
Friends - Extended Version,Jody Watley,spotify:track:3KSyirDpavufhFeWRzDs1k
Fetish,Vicious Pink,spotify:track:7pGhBemd3S6ij1sOBKTjBd
Madman's Honey,Wire,spotify:track:2WdQGz8WWrzXsAjaJ7tl7D
The Call Up - Remastered,The Clash,spotify:track:1DVZCooCJVp4DmCteQ5XlM
Roller,Massimo Morante,spotify:track:3N2hF0s2yOgkLv8bITU6BZ
"Precious - 12"" Version / Extended Version",The Jam,spotify:track:7wG1Jk7l55nysKhVkK0agb
Back to the Beat - Club Mix,The Todd Terry Project,spotify:track:4VFjyvKsF5TJ46XQc0K5R4
Spend The Night - Extended Version,Guy,spotify:track:3MJkn550u7W2CEgWpodt2b
Just Keep Rockin' - Hiphouse Remix,Double Trouble,spotify:track:2sxBVAkKiBrH9b37AzEnV8
Lips Like Sugar,Echo & the Bunnymen,spotify:track:3Oa8vnNXStoOHLbJwwMEDP
Progress,Sparks,spotify:track:5WaFJgmP9zNfp3KTUcocM0
Something Else,Logg,spotify:track:6vKm2veYVR04qy8ODjQhpL
Heaven Can Wait - 1998 Remaster,Iron Maiden,spotify:track:087LE5USBBWqyEzTbjo7Bv
Thinking of You,The Colourfield,spotify:track:1L4Cp6evPrp8bxo487OCJs
All She Wants To Do Is Dance,Don Henley,spotify:track:4yCRCEAfCMRyqCpBSd0qDp
The Honeythief,Hipsway,spotify:track:2HdQ9J7lLrPmQPXqKodkbN
Hopscotch - Larry Levan Instrumental Mix / Bonus Track,Gwen Guthrie,spotify:track:7nEv9arTiGbPeB0RgYt4b7
No More Lonely Nights,Paul McCartney,spotify:track:5GSzTLQ8J9dmdsE0SsXpFA
Keep on Loving You,REO Speedwagon,spotify:track:4rcHWl68ai6KvpXlc8vbnE
The Next Time I Fall (with Amy Grant),Peter Cetera,spotify:track:7zSDDsIlks515d0tZGM64x
Feel The Need - Extended Dance Version,Forrest,spotify:track:2zmEs9voAOw8woG93FRFAq
Swings and Roundabouts,The Bolshoi,spotify:track:7nh46PsMgr6y4tTErV9wk0
(Nothing Serious) Just Buggin',Whistle,spotify:track:6NDvxxcvWXOrbO3c6OBjo2
Prodigal Son - 1998 Remastered Version,Iron Maiden,spotify:track:0p48PmW8KNdVH7udDuzHMn
Headlines - 12 Inch,Midnight Star,spotify:track:5ww3z9wINmyqUYUWYo0SSH
Runaway Train,Soul Asylum,spotify:track:3Ib3SJV8ZXuLvDiDb2w1As
Clubland Mix: Everybody Salsa / Moose on the Loose / Salsa Rapp / Sody / Ay Ay Ay Ay Moosey,Modern Romance,spotify:track:6Dwe4fQEoWpol9DrgUdaWp
Oblivious,Aztec Camera,spotify:track:1YOoJsPbK0oAmF2wnnkqx2
No Class,MotÃÂÃÂ¶rhead,spotify:track:38zUw56OnFINsjiVTbwKzD
Sight Of Your Tears,When In Rome,spotify:track:2pvnYS8R55WV1cVLy4Qvnf
Wild Wild Life - Extended Mix; 2005 Remaster,Talking Heads,spotify:track:6kyXzmj8GaKZfZIsTRmEEn
Tell Me,Nightlife Unlimited,spotify:track:3SA8EqwI2xOjuwt9A9XAck
Amen Yves - Original Version - Bonus Track,For Against,spotify:track:6Oqgof1duhnizKW8F4ioZC
L Is for Lover,Al Jarreau,spotify:track:7yTYLzVNvTipjKDCBT40ji
Simple Simon (You Gotta Regard),Mantronix,spotify:track:7ogOICHA9gH0YVW7OHl3Il
"Never Trust A Stranger - 12"" Version",Kim Wilde,spotify:track:7oGGn7zizjkP8g6Vu9xk9G
Perfect Strangers,Deep Purple,spotify:track:4dlupPB3jYjgTuow5ayOkM
Eaten By The Monster Of Love,Sparks,spotify:track:7LZPBHlgMPQszEAecHxjid
Helpless (You Took My Love),The Flirts,spotify:track:2KCUKZnPjCaJoEf8alkkLL
Stomp!,The Brothers Johnson,spotify:track:7baT8Rtque2hXWxnT7NOWG
"Hello, I Love You",The Delmonas,spotify:track:62edsjz79VmE4gvSkRZul6
"Baby, Oh No (Digitally Remastered 1993)",Bow Wow Wow,spotify:track:2rMmUfGf0ARyRAhZnaQIt4
Hip House - Original,Fast Eddie,spotify:track:7eQxMfUWGxOqrYYD6stOtZ
I Still Love You,Shirley Murdock,spotify:track:5ZpmC45UE2hbB7kZKGzVYE
"Dirty Looks - 12"" Mix",Diana Ross,spotify:track:4wBZgEN5bPvI5Lbfj2wSNg
Stupid Cupid,Connie Francis,spotify:track:71uRTq9mNhaSMbrry5nIC3
Your Love Takes Me Higher - The Pod Went Pop Mix,The Beloved,spotify:track:4YZh4MQgJL2TBk60nJgMWW
Holiday on the Moon,Love and Rockets,spotify:track:1VbVN1XQI62bUJTRebWGYL
Revelation (Mother Earth),Ozzy Osbourne,spotify:track:6uUY3XrgWgG4kW7wgpc6SB
So Tired,Ozzy Osbourne,spotify:track:3kZUWSoGjfRa3AZ1Kqzjen
Nothing's Gonna Stop Me Now - Club Mix,Samantha Fox,spotify:track:27vDdULgcHCs2BLYQEz17x
Le pollen,Pierre Barouh,spotify:track:4Kw7EtvCPutzITruaMl820
Tear And Cinnamon,Eleven Pond,spotify:track:1qAsvUmBJizTaSkrHvb75N
The Mercury Girl,The Cleaners From Venus,spotify:track:5GlUG9TM9mk6d7pocI8QE3
Starpower,Sonic Youth,spotify:track:4m4Z6Rkz0XJcIrxz9vtMBQ
Wet My Whistle,Midnight Star,spotify:track:0R7pPCjKgC8ZOEUr2E8D9B
"Hit That Perfect Beat - 12"" Version",Bronski Beat,spotify:track:0bgOqYibNvxS90pFJNlHdx
Parties In Chelsea,Television Personalities,spotify:track:0URaLxSpVeNN8Efvw5EW92
Living in America,James Brown,spotify:track:471j9UjeLCUKMctqbL9Ils
Wild Mind,The Bevis Frond,spotify:track:6I9XCMVsdc1jk9vQnWCssB
P.S.,Dolly Dots,spotify:track:4dGdaHr7vZ4xK7c0gDqa9m
Now That The Buffalo's Gone,Buffy Sainte-Marie,spotify:track:35qm8FbXcwEL2KEStH2aEr
Wild in Blue - 2005 Remastered Version,Suicide,spotify:track:5tt9AYN0MSx6dUohwkI7Bw
Block Of Wood,The Bats,spotify:track:7k5iCqwscysCN1rzJAKokT
Reaction - Extended Dance Mix,Rebbie Jackson,spotify:track:2wii6tOWQozJKghw5pj7F5
Diary of a Madman,Ozzy Osbourne,spotify:track:6joOV9D7y7TzWQprwrInUh
Jungle Fever - Def Mix ... The Morning After,Wop Bop Torledo,spotify:track:0IissTAtBzBe4MzGCFY1oN
Bang the Drum All Day,Todd Rundgren,spotify:track:54EvqHberbpzMu7nu8hs9S
The Lady in My Life,Michael Jackson,spotify:track:4OpwADjlTmeRSWHkUrGXpz
You Got It (The Right Stuff) - The New Kids In The House Mix,New Kids On The Block,spotify:track:0WunNuTT3WLmTV8G3GP81M
Give Me Time,Minnie Riperton,spotify:track:5svkVx1yLJ1im7RI66TnUR
What Becomes Of The Brokenhearted,Jimmy Ruffin,spotify:track:7Bvap2GAW2DAyZ7EVUJpMO
Ain't No Money,Rodney Crowell,spotify:track:5q1Co7XcZvf5XHSOMgrhGw
I Surrender,Rainbow,spotify:track:0gGJO7JM51uAUu7EE2lxx6
Treason,The Teardrop Explodes,spotify:track:5PoeM9NAMtFBGLxwJZVuGd
"Damage, Inc.",Metallica,spotify:track:0wGZZWwMpkdpxio6sUaryz
Good Mourning / Black Friday - Remastered,Megadeth,spotify:track:3Uu7b1wEQ4glnD0ckUAmLT
Heart - Disco Mix; 2001 Remaster,Pet Shop Boys,spotify:track:0unbZhJSZ76smcqq7kL9dm
Slave To Love,Bryan Ferry,spotify:track:1c9dnQbOzw01ID7X2IsYOE
(I'm Not Your) Stepping Stone,The Monkees,spotify:track:7FEokBwoTf6hkbIC64MmpB
I'm In Love Again,Minnie Riperton,spotify:track:2NAEtiCytCSx9FyFhj2gTZ
