Bed & Breakfast,Murray Head,spotify:track:2EezZrct9l2dp1Jj6SGE2D
What Is Life,George Harrison,spotify:track:7be7aHPLjs3qkKmxR18jeY
I've Been Pushed Aside,McFadden & Whitehead,spotify:track:6CD1KkhvlwIOMrpYYAsNw3
Going to California - Remaster,Led Zeppelin,spotify:track:70gbuMqwNBE2Y5rkQJE9By
Home At Last,Steely Dan,spotify:track:2beIrUqv4VIyqqYhnajOyT
Free Ride,Dan Hartman,spotify:track:17ojk4PRvB27ctqgBXlhnR
Tangerine - Remaster,Led Zeppelin,spotify:track:3NH2FJUSV3HGXZRtOc3Uwj
Rode Hard and Put up Wet,Marshall Chapman,spotify:track:2YwuLjgUJYlS9AQFLW1MxX
Lodi,Creedence Clearwater Revival,spotify:track:0LMURKNxUPx7OIInOqSc3N
Hellbound Train,Savoy Brown,spotify:track:1neZ7P3jQDh57Th29fITqs
You Say It,Al Green,spotify:track:4KAkdpQ03txYI8j55NjR8j
Slave of Fear,Stone Axe,spotify:track:7pTPjhVBKCxoXVN3db8Hph
My Baby,Janis Joplin,spotify:track:21VU4WIu7EXD68EWGzPUn7
Tokeymor Field,Klaatu,spotify:track:5uKQn1vD9hihhMVqwInKRP
Mediterraneo,Joan Manuel Serrat,spotify:track:7Bewui7KtaMzROeteRitRz
I Think I'm Falling In Love With You,Natural  High,spotify:track:6VZKvKt97cJGuXm6CiWfdg
Pollution,Krokodil,spotify:track:6jWeh1nRT7Y2auJ8SVROMq
Misty Morning Way,Fruupp,spotify:track:4A1Jj8pRl4N9eRS4g0Pm1a
It Ain't No Big Thing - 2012 - Remaster,Donna Mcghee,spotify:track:0QLA9Kw4gX7pG0g5K1ceby
Hold the Line,TOTO,spotify:track:4aVuWgvD0X63hcOCnZtNFA
"Ain't No Time, Pt. 2",The Kay Gees,spotify:track:13HYe7QySrKmVrktJIioYM
Faster - 2004 Mix,George Harrison,spotify:track:0g2N0JGWnKD7bTahmY4x6Z
Microchaos,Blue Phantom,spotify:track:3I4UGrPHHcRDIIJWSuwF5N
Two More Bottles of Wine - Remastered Version,Emmylou Harris,spotify:track:62buMnGJ9bLrZAV03fGjYc
Uncontrollable Urge,DEVO,spotify:track:1RG1Pz45nlYNHka7JioyOT
Sympathy For The Devil,The Rolling Stones,spotify:track:7pcg5HSoWI1Yg5Yt8rixG1
Move Over,Janis Joplin,spotify:track:2XxpvLfN0EaBE6Dd6H1PET
The City of New Orleans - Original Version,Arlo Guthrie,spotify:track:7jbb0XkDk6cuif7AVu3gdW
Revival,The Allman Brothers Band,spotify:track:2RJ138O6QfO3f6zkfCl8jH
No Limit,Breakwater,spotify:track:2J7xJcaxx8IuhAheIjDzdz
Disorder - 2007 Remaster,Joy Division,spotify:track:38wCbVfMreML5ZhF5iQuKA
New Values,Iggy Pop,spotify:track:5LmqBIugWpgE9OA8jFk4i3
Running fast,Stefano Torossi,spotify:track:0wOiCSxhbj4rPmbXQxU2ld
If You Want Blood (You've Got It),AC/DC,spotify:track:7zscdQe9CjzXnqT3P1Ey7K
You Could've Been a Lady,Hot Chocolate,spotify:track:6PNz453uZMEmXArP0iDKAl
It Hurts To Be In Love,Gene Pitney,spotify:track:23KP6gh1zMH6XPfu9bBLZT
Peter Gunn - Live; 2017 Remastered Version,"Emerson, Lake & Palmer",spotify:track:0T61tnl44XU7PPycySuJX5
Barbara's Mood,Black Heat,spotify:track:5EjqDxM0N2GxpMHElwXwei
Lâassassino... Ã¨ al telefono (seq. 2),Stelvio Cipriani,spotify:track:3PEVenSjXc4TxTGeCRm14u
Skylab,Krokodil,spotify:track:3Zo2461cgEF8Z3RD4w6znF
Family Tradition,"Hank Williams, Jr.",spotify:track:73ZTWCuwudUVvvWipRnQnQ
Plantasia,Mort Garson,spotify:track:4CyTrR4c13d57jCVstfS8T
Waiting For The Man,The Velvet Underground,spotify:track:39Ol4T0FMdMTGj9oytWUVq
Poison,MC5,spotify:track:7uhtFFmS2WrzuvjgBO0Nfz
September,"Earth, Wind & Fire",spotify:track:0eEncOnmSHqnm1sgXsjUSA
Bad Moon Rising,Creedence Clearwater Revival,spotify:track:2ZFxZ4QNiciMhvJV2GjKWL
Reelin' In The Years,Steely Dan,spotify:track:1I7zHEdDx8Ny5RxzYPqsU2
Who Are You,Spot,spotify:track:7ogUhJS1kAGtOxO6YAjcdU
Waymore's Blues,Waylon Jennings,spotify:track:0lWHgpQIg3NcVLHnEP1h4b
Goodnight And Goodmorning,Cecilio & Kapono,spotify:track:4LcetXHTxpEbUsPRYmVO90
Rainy Day In Centerville,Minnie Riperton,spotify:track:4H5svmDLxyewNfImW5CJfF
Bohemian Rhapsody - 2011 Mix,Queen,spotify:track:7tFiyTwD0nx5a1eklYtX2J
Do No Good Woman,Waylon Jennings,spotify:track:0SOSQEzrBSGDE6LwubFfD0
(Ghost) Riders In The Sky,Marty Robbins,spotify:track:4fhmzkeQ6U6CSvFYNpQ31o
The Great Gig in the Sky,Pink Floyd,spotify:track:2TjdnqlpwOjhijHCwHCP2d
El Anillo del CapitÃ¡n Beto,Invisible,spotify:track:23jMDvKil4frbTA35BVzBY
We're Not Afraid,Goliath,spotify:track:0DbuPAljo6j55Qj96Eq0xy
Clara Clairvoyant,Donovan,spotify:track:6zxLYIQWWvfyz6sYEOzSzf
Sunshine Day And Night,CAN,spotify:track:1pKb6rGoqpJmZ8uRjPad3M
Ti-Ti,East New York Ensemble de Music,spotify:track:6Ih3eRAImLCkU8au8NPN2S
Meeting (Garden of Geda) / Sound out the Galleon,Jon Anderson,spotify:track:7lzevCsJfaCrB7HCYvY627
Best of My Love,The Emotions,spotify:track:2M2WJ7gBlcKNxdhyfPp9zY
Slippery When Wet,Commodores,spotify:track:7a13xzsyUJGciP6Wr3Ku6R
She's Gone,Daryl Hall & John Oates,spotify:track:5dFoWIiJ2814hRwMYDcFiU
Rocky Mountain High,John Denver,spotify:track:5hQmEgRaLv8H4vADovLgXr
If Not For You,George Harrison,spotify:track:7ykaUgkdQWJLsMuOymTV2A
Long Live Rock N Roll,Rainbow,spotify:track:2lRhq1ZfHNiaVNHkTWeXUv
He's a Poor Boy,Heron,spotify:track:2ud4RlOzSWDV7zxTGiJfsE
One of Your Kind,Titanic,spotify:track:3uNKTZaIimhOMHaBBV64YR
The Axeman Cometh,Wicked Lady,spotify:track:3P2iYw7TojY7EtOwZtOZIz
Slip On Through - Remastered 2009,The Beach Boys,spotify:track:6BzZvQJsXi68wSvFTHU9bC
I WILL SURVIVE,Gloria Gaynor,spotify:track:0x4GSz5C4XZDkNhFswGboC
Bleeding,Todd Rundgren,spotify:track:0DXel1zfvChkgNaZURfZMK
What Is This Thing Called Love?,Grant Green,spotify:track:0xzI7gbchPrJ8KnAq0ucNt
Angel,Jimi Hendrix,spotify:track:4m6KlFD4eMiQFzh4IVVFVm
Fame - 2007 Remaster,David Bowie,spotify:track:7qVOasZcHa4faF1TqvPEKF
You Know I Do,Jeronimo,spotify:track:0QRtdJ1PCRmIHlt0rOs9WP
More Than A Woman (2007 Remastered Saturday Night Fever LP Version),Bee Gees,spotify:track:0vDeTWoAooavG2zcCKHmI4
Telling Your Fortune - Single Version,Chicken Shack,spotify:track:6VJ4Earr89KXcwZ6fletLk
Hannah,Robin Trower,spotify:track:5heAelaGSOUuZk23UrZNv9
TIME TO DIE,Ancient Grease,spotify:track:5K77h3VnbAEexYcJVjcICf
Queen Bitch - 1999 Remastered Version,David Bowie,spotify:track:7szCdhEyZ2xAEkVyZWS9uB
I'm A Freak,Wicked Lady,spotify:track:6LG6PwJskgJ9k24WNETAaL
Silver Ghost,Parish Hall,spotify:track:4xak3dYvMKB2HOfSxh4nwc
The Summit,Cozmic Corridors,spotify:track:5NiyHng9hz3334uFoocTI6
Magneto And Titanium Man - 1993 Digital Remaster,Wings,spotify:track:1oHJqJn5Y7lwCqZNWEdaMe
Girl You Need A Change Of Mind,Eddie Kendricks,spotify:track:64bnTYBCQsHAsZUmA2JDH0
I Think You Know - 2015 Remaster,Todd Rundgren,spotify:track:0twDv3VF3vMJhLoUxpSQoo
Ballad Of A Well-Known Gun,Elton John,spotify:track:0h3ZbeBFe6jEQCQuuM0WWx
Allt Genom Dig*,November,spotify:track:4KWnFxT9KB8Ns8c9MhMbzx
Wild World,Yusuf / Cat Stevens,spotify:track:6Xz7FeyE8HTP90HecgHV57
Bus Stop,The Hollies,spotify:track:3Jw2A9SC8zhntx4ON9VabX
"Baby, This Love I Have",Minnie Riperton,spotify:track:397fxHew7NyjryGWGr1Imy
Breakfast In America - Remastered,Supertramp,spotify:track:4hEk1CHls2JEDbKIKy8JxV
Peace of Mind,Boston,spotify:track:3sY6z4pGcxpMwx3W026WtU
Come To My Garden,Minnie Riperton,spotify:track:55q7rylDWUZt7WjImvmPPs
"Baby, What a Big Surprise - Edit",Chicago,spotify:track:11dAtktxQQzipxuLqljEfY
Bumpy's Lament,Mack Browne & The Brothers,spotify:track:3tuDCFSxG2W6XIJKhS0hcX
Restrictions,Cactus,spotify:track:4sFQuKI2FB5ViSHqWuAJod
Dancing All Night,Kim Fowley,spotify:track:4xiyze4tz7OlEuJcTA2ZqS
Queen of the Silver Dollar - Remastered,Emmylou Harris,spotify:track:3eHZVcssb40pfb3L8Wh0X5
Into the Mystic - 2013 Remaster,Van Morrison,spotify:track:1lxVGQgbt0g7mMkmevl9Bm
Jackie Blue,The Ozark Mountain Daredevils,spotify:track:1R9EHsvzpXwOvlGkgDmE55
Death Trip - Iggy Pop Mix,The Stooges,spotify:track:7bqn4e3nGorbHDgP3yL9G7
The Great White Buffalo,The Amboy Dukes,spotify:track:2RpK4rx8wfXJS1brkMDeT6
The Passenger,Iggy Pop,spotify:track:24FmdHoCr2jZGE6Z6dZbJT
Cio che e' scritto nel vento,Giorgio Gaslini,spotify:track:6wCsRchz3850j0GgfXYjrV
It Doesn't Matter,Firefall,spotify:track:45RJYPoPtYMQmM42YVbYNW
Celebration Day - Remaster,Led Zeppelin,spotify:track:2gz5zUs2ah7IkHbbb9yOUN
Sunburst Finish,Utopia,spotify:track:0a2WJFHhX7rQQi6VpkIy7o
Bad Vibrations,Gift,spotify:track:1mLycRIo57pWUw4NzZu9vi
The Last Thing I Needed First Thing This Morning,Willie Nelson,spotify:track:7viJvsSKvbL4aBGmTzg4vi
Just Can't Be,The Flying Burrito Brothers,spotify:track:0Ov9Hh2ygoGCkwTXMRYRcp
Live With Me,Humble Pie,spotify:track:2lMva3tTgQostvWbuOWyAW
Dancin' And Actin' Crazy,Minnie Riperton,spotify:track:6aYSWBBbVRJQq42M1bbmQr
Things & Do,The J.B.'s,spotify:track:6EugKjSpv2zu8lReWVwjGt
"The Love Story (Part 1) Including (""The Love Story"" Part 2) [""The Love Story"" Part 3] [""The Love Story"" Part 4]",Skid Row,spotify:track:031lkBtN21o38CjzMuqtDU
The Thrill of it All - 2013 Remaster,Black Sabbath,spotify:track:77MJd5MgnnMiHt1fYMM6Oh
You Stepped Into My Life,Bee Gees,spotify:track:51VbUJoYc1TX1e7GPcLhFQ
I Wish You Were Here,Al Green,spotify:track:7d2RV57UI7JoYnF1emRH6m
Only Good For Conversation,RodrÃ­guez,spotify:track:06aWHX6U1AP5mBZp4FJRzB
Lonely Days,Bee Gees,spotify:track:1oObzv5K2xxg2yrSF1jG8c
Nada Es Tan DifÃ­cil Como Estar Vivo,Vox Dei,spotify:track:6uerI3yqjWiHafDEZ6g6P8
Plastic Shit,Jody Grind,spotify:track:7d1Pa7XIluSy1y81FGQ7b0
The Loner,Golden Earring,spotify:track:6KhmO8xw6IL46b33WiD8NZ
I'll Remember,Taste,spotify:track:4AOOFYCAUS2I8QnXTbiIUz
Old Man - 2017 Remaster,Neil Young,spotify:track:4RIp4UTguC0F6TRV7xfKjv
Rock 'N' Roll Suicide - 2012 Remaster,David Bowie,spotify:track:1k5iH4KDKi56MFvlnrALNV
Modern Man Blues,10cc,spotify:track:42wdSwrf5idLi5kfdjQRhJ
I'd Love to Change the World - 2004 Remaster,Ten Years After,spotify:track:19HjHUjCfDrEYhVSIKG6nK
Big Balls,AC/DC,spotify:track:2KmSnPWWCIsEomVsKnbE1a
T.V. Eye,The Stooges,spotify:track:7mvN904TRvKl9CPQXFJ16t
Tragedy,Bee Gees,spotify:track:04waBn6uK4Af8udH2KqQri
Can't Take It With You,The Allman Brothers Band,spotify:track:2DJz0x5rfvzjOcmcVyvgM8
African Funeral Song,Paul Horn,spotify:track:0uVuxiUIARZRRj91Maj0XY
Come Out of Her,Fraction,spotify:track:5UkRjPgaPaXoT8CPPDTv3a
Take It to the Limit - 2013 Remaster,Eagles,spotify:track:2cWHN0WK52RGAWHgaDamUA
Ohio / Machine Gun,The Isley Brothers,spotify:track:3ED1bJFd5g9jwHa8N97BuN
54-46 Was My Number,Toots & The Maytals,spotify:track:1q8gelFgFYUwoWpQV7WNCe
My Guitar Wants To Kill Your Mama,Frank Zappa,spotify:track:6TXBbGLm89krX2OzBt5eMo
"For Emily, Whenever I May Find Her - Live",Simon & Garfunkel,spotify:track:2SywGUSqhArOyQmaj5tOY4
Go Your Own Way - 2004 Remaster,Fleetwood Mac,spotify:track:4xh7W7tlNMIczFhupCPniY
Pride,Robin Trower,spotify:track:1azdgpiZf293bOgX4kp6jD
Feelin' Stronger Every Day,Chicago,spotify:track:0tOCULBiOd2RcRSM2kJNhr
Free Money,Patti Smith,spotify:track:1wP1qnWy0cZWxnbWkzf9La
Hear Me Calling,Ten Years After,spotify:track:5TTb23dO89m43kmhgGyYkF
Get Back,The Dierdre Wilson Tabac,spotify:track:1xGFvhOiBI5n5rExdQpSpk
Seeing You This Way - Acoustic Version,Minnie Riperton,spotify:track:5P3E66Glfjeq9cVI1U6SfH
Livin in the Jungle,John Tropea,spotify:track:1KnSyVa9CdLuBD8HyHPBLt
Try (Just A Little Harder),Kozmic Blues Band,spotify:track:2TCqmi3aTW6szuXZjB9uGg
Back Street Kids - 2013 Remaster,Black Sabbath,spotify:track:4sBQfk8gr2hhX93zpULTQM
Everybody Loves The Sunshine,Roy Ayers Ubiquity,spotify:track:5le4sn0iMcnKU56bdmNzso
Could It Be I'm In Love,Minnie Riperton,spotify:track:3427vWnzZCceNIiscGbCAm
Battery,Macondo,spotify:track:2QbhbWL9ymcqOEapfYhnxU
Flying Junk,10cc,spotify:track:3rRcKKfaaPruErqMyBeChy
Do Re Mi,Ry Cooder,spotify:track:4l7riyMsj4wDFtaHzuyTgA
Nothing I Can Do About It Now,Willie Nelson,spotify:track:6LFxzumUl1Hu4QVzh3ZdYi
Heavy Metal Kids - 2015 Remaster,Todd Rundgren,spotify:track:6LtSfzclsMOrrJsUo6WPa0
Get Into the Wind,Steppenwolf,spotify:track:3ywGNMIKiiyVWBgaZZZxSG
World on a String - 2016 Remaster,Neil Young,spotify:track:1Y5B1TggbMqAOyauUOl2nT
Singing the Blues,Marty Robbins,spotify:track:4vcHOxfV846dVjyToPFBRp
L.A. Goodbye - Remastered Version,The Ides Of March,spotify:track:5sVXeQxxtGZHrUYLzDkbYd
Who Are You,The Who,spotify:track:02DurCgOvDdX0uKEjqcl3W
When Temptation Comes,The Chi-Lites,spotify:track:5axUKMdkVnO9mDsdXx0RBY
I'll Come Running - 2004 Digital Remaster,Brian Eno,spotify:track:6ZWVeMysm8Q8zZu3lKnY2v
Midnight Lady,Legs Diamond,spotify:track:1xMTCv7vwr8itceUij116m
Because the Night,Patti Smith,spotify:track:77XlfkvXtMwppbEU5sku97
Come Sail Away,Styx,spotify:track:1gv4XP30nW7EWvdPlHRy0J
Picnic International,Kraan,spotify:track:6t2WTknNalpQIqW3LKKnXb
Peace Train,Yusuf / Cat Stevens,spotify:track:1ppuHX1oVMku5LTL0swNZP
Kool & The Gang,Kool & The Gang,spotify:track:3GdvI6fsbGQXkYR2xoMLQ3
Tequila Sunrise - 2013 Remaster,Eagles,spotify:track:1WYokrkFOb9TFVuTrmxTTt
Lucky Fellow,The Independents,spotify:track:6fmp2xscVDsNuJfyQUGjju
Run And Hide,"Speed, Glue & Shinki",spotify:track:0rfGELJpovFIA7J3NBKThG
Sweet Wine,Ginger Baker's Air Force,spotify:track:3DcEU3w5WBXe7H5XoZIY8D
That Is The Way - 2001 Digital Remaster,XTC,spotify:track:0DV6DGdMd6u5IoOoUAnkl1
Natural,Troyka,spotify:track:142kcuWIf7zLQ7zQKUC0rU
Pick Up the Tempo - Remastered,Waylon Jennings,spotify:track:53VKYgVhNeEughsnDo1QPi
Confessin' Midnight,Robin Trower,spotify:track:43nTYREkJSuiIUHVEWhGg0
Never More,Elf,spotify:track:0fD5jhjdUKRGrEdSrM4L0S
Eruption - 2015 Remaster,Van Halen,spotify:track:2tAeN2TKlQLOoSPXtARzBV
Seeland,NEU!,spotify:track:7BcaNQeQ5IRw1N5HSp1fke
Un velero llamado Libertad,JosÃ© Luis Perales,spotify:track:6O4LIYBSFROdVpxAUnG3oZ
So What,Geordie,spotify:track:1irVe7IbYwqTAEszID8ZEM
Fear,Easy Going,spotify:track:4jf4tlzUlg8CanVVB0mSLa
The Spirits of St. Louis,Johnny Paycheck,spotify:track:14Luck8qmXVkOhrWNYAP1b
I Can't Wait Much Longer,Robin Trower,spotify:track:5tjqJtpYbZgBtjwaoFtGRN
Double Trouble,Eric Clapton,spotify:track:6rkiM0V1b0Q2iTVeK6np4C
Sheep,Pink Floyd,spotify:track:55e99bv2wlgTYtNEYHWtN1
Viva alleluja (2Â° versione),Stelvio Cipriani,spotify:track:7txxWCABGYdKnvoDRp9Nq4
Com Mais De 30,Claudia,spotify:track:5vSyBKGgP8DwErMptrUmL7
Roundabout - 2003 Remaster,Yes,spotify:track:0YveezON7jpiaHA8fnUHxN
There's a Kind of Nothing - Remastered,Hairy Chapter,spotify:track:6suCUft8oiv89aztb8ptwL
I've Been a Long Time Leaving (But I'll Be a Long Time Gone),Waylon Jennings,spotify:track:0r8dEfqyiVgAPSv2Q6grMy
Medieval Overture - Instrumental,Return To Forever,spotify:track:1wt87z7ipHD4uhCJLA2p4N
Rock Bottom - 2007 Remaster,UFO,spotify:track:4F1p9de1hUXV7l0DBpPUhL
Por AquÃ­ Se Te Echo de Menos,Vox Dei,spotify:track:40fZxRkzuHsYLt1MM3Li7s
I'm Going Home - Live at Woodstock,Ten Years After,spotify:track:6gOm4w7mbeIsouBWpRc9Qj
Wheels of Confusion/The Straightener,Black Sabbath,spotify:track:4wkMbcxl87x6p8Bhrv1wKC
Nattliv,White,spotify:track:2G2Fg3ZeYNkhVFefrapaha
A Fool No More,Peter Green,spotify:track:3qK1Ol7jPQSVkdk5F7BPEY
Searcher's Life,Banchee,spotify:track:3Ndc6RAOdvtELcspKxvVSj
In The Land Of Grey & Pink,Caravan,spotify:track:4Z335bGhpA68s6sq40UDfe
Breakthrough,Atomic Rooster,spotify:track:4LwrmHM4m9oGbpMoaS7N1W
Same Old Song,Kris Kristofferson,spotify:track:0RGrMCZ57k14ks8QZWmXsg
No Quarter - 1990 Remaster,Led Zeppelin,spotify:track:2fQ2iALVbAZ7MkH6PaaIJ6
One After 909 - Remastered 2009,The Beatles,spotify:track:50qHmeex1nPTyQTwBXjSE4
The Knight,Panta Rei,spotify:track:4JwTF8wphywC7kVILy5V8v
Nothing Again,Missus Beastly,spotify:track:2WXFP43jbv3pHuChWomwz1
Mandocello,Cheap Trick,spotify:track:1nNfE3jM6ygHpizMMNc7p0
Can't You See I'm a Star,Moxy,spotify:track:6ParagzUxBlsXmC9flTYNQ
I'm All Right,Keith Hudson,spotify:track:2PtZ5GAVyafLqjZsHNd0o7
Three Girl Rhumba - 2006 Remastered Version,Wire,spotify:track:0bN5W8EhIJhh6zvgeNG57J
For Your Love,Dschinn,spotify:track:31izblWxSqZK5jpgPiyODi
Every Time He Comes Around,Minnie Riperton,spotify:track:6IFkKffqlVPNY7TAneHvVC
Stardust,Willie Nelson,spotify:track:7iyd0aOJ2J54hENgLeGxCk
A Reluctant Hero / Betsy / End Credits,Bernard Herrmann,spotify:track:1bbqHoPIr5qHUBcTq6i3NZ
Silly Love Songs - 1993 Digital Remaster,Wings,spotify:track:3bC0IKk62yB6TDaratb1s2
Johnny The Fox Meets Jimmy The Weed,Thin Lizzy,spotify:track:1narbYxMWpbp5ZbCdBgwlS
A New Career in a New Town - 2017 Remaster,David Bowie,spotify:track:6O3YVHQaeImvCBbJbalB00
Im Krater BlÃ¼hn Wieder Die BÃ¤ume,Amon DÃ¼Ã¼l II,spotify:track:7rNYx6fbAZkbkF71lah9O1
Walk On - 2016 Remaster,Neil Young,spotify:track:1MF5iQOhiz11mhehiqjPMN
Strange - 2006 Remastered Version,Wire,spotify:track:79lrCVUuhCqvMUQTML1cTo
Baltimore,Nina Simone,spotify:track:39CyGKIFqMzSuynOR8uilD
Thousand Days Of Yesterdays (Time Since Come And Gone),Captain Beyond,spotify:track:6TSiIvYWvLezKpIbFZj09y
Working Class Hero - Remastered 2010 / Lennon Legend Version,John Lennon,spotify:track:1yKQBy7olMIqRpziyAzf8c
Bedside Manners Are Extra,Greenslade,spotify:track:6YFCtgDCVcIzTSA75O6lgN
Free Bird,Lynyrd Skynyrd,spotify:track:4JNi40t7xR5bO3PWxRkiPN
Chuck E's in Love,Rickie Lee Jones,spotify:track:3Z7mFVDy2izZNCvUWGy13Z
Friend of the Devil,Grateful Dead,spotify:track:5ZLzl6T8JwqMTMdoE0nCbU
Crying in the Dark,Nektar,spotify:track:2WYtruK39AgxLLSde4Q8Bx
Shylock,Buffalo,spotify:track:1aRazBXf7bEAPXcKJgs9ve
Sabbath Bloody Sabbath,Black Sabbath,spotify:track:0pRBe5fl0ZuoWhdEcAIbXS
Williamson County,Gary Stewart,spotify:track:2bVtOSCim052Vsm05qTk6e
Some People Never Know - 2018 Remaster,Wings,spotify:track:4WrUwDLQYLwkeKJQhoDfme
Jay Time,Hard Stuff,spotify:track:3HFTyptVVD8oQTVAHn1VtC
Da-Da,Hiroshima,spotify:track:30JvlSd6MRXFXu5Bf52wgJ
Zalez - Sunset,Diana Express,spotify:track:0WXs53QledU0IzcpfSnFJi
Funeral For A Friend / Love Lies Bleeding - Remastered 2014,Elton John,spotify:track:3JNgpaqUdpozbCnbPOMqPQ
Peaceful Easy Feeling - Eagles 2013 Remaster,Eagles,spotify:track:40h65HAR8COEoqkMwUUQHu
Oney,Johnny Cash,spotify:track:2p9cD6MdK6vZkj7GhXJCZj
Yellow Pills,20/20,spotify:track:5FddI3pEApza2kSmc4HgUY
It's Her Turn To Live,Smokey Robinson,spotify:track:2LGoZeAXCGO9cgg9pZeHEU
Children of the Grave - 2014 Remaster,Black Sabbath,spotify:track:5clz8BOBulxx7q2yHxqOCk
Juke It,Boomerang,spotify:track:2i0UoOhi9auHFJOcqdHGbb
Fiction Romance - 1996 Remastered Version,Buzzcocks,spotify:track:6y8EVfZVQGFizEORt85Iat
GÃ¥nglÃ¥t frÃ¥n ValhallavÃ¤gen,Kvartetten som sprÃ¤ngde,spotify:track:1W30OOZSr8KdrHyDVWHCWC
I Wanna Be Sedated - 2002 Remaster,Ramones,spotify:track:4jDt1y2gCPiqC3PgWuzLjW
Blacula (The Stalkwalk),Gene Page,spotify:track:2KTgbaUyvLfIRQNt345hlq
Venus And Mars (Reprise) - 2014 Remaster,Wings,spotify:track:4erNGjKMJyr7oAtpjjfKpV
El Condor Pasa (If I Could),Simon & Garfunkel,spotify:track:5xEMl2CTbhPFE7N2ESXh9e
Odyssey,Kahvas Jute,spotify:track:5fD0Ac3KDX58r94jTUH1z6
Melody,Serge Gainsbourg,spotify:track:6zcysGMvMEhlCij4ee6Jjf
Perfect Angel,Minnie Riperton,spotify:track:7docNdBWkb0O4Q13ZGvVTb
Rat Salad - 2013 Remaster,Black Sabbath,spotify:track:2b8xbWvck5yh9vvEogsfqa
Pick Up the Tempo - Remastered,Waylon Jennings,spotify:track:1jMUJ4j7f7nKo58VQoDbvA
Toiler on the Sea,The Stranglers,spotify:track:2ByEdIumb0VpRzaiGTjlcM
Oh Yoko! - Remastered 2010,John Lennon,spotify:track:2pNwQBjJppt8v3sZojH1aj
Are You Ready for the Country,Waylon Jennings,spotify:track:5paXckVUlnYJfUybwXrSoI
Sonata in Z,Fusion Orchestra,spotify:track:7EdbZ6XSuN3kGxEopYHxYM
Send Me A Postcard,Shocking Blue,spotify:track:6EXOSA4BWBM1AUsXxKwYDT
A Good Year For The Roses,Johnny Paycheck,spotify:track:30orqXTRk69zSlRgjt08F6
What You're Doing,Rush,spotify:track:5ta0Ra3jMlNWKlSyIML7ZI
Freedom,Freedom,spotify:track:1cQxinC0E6sCXCtAunflCg
For the Good Times,Ray Price,spotify:track:1XuwkiH87JdwKw3UlJY07E
America The Beautiful / The Times They Are A Changing,Spirit,spotify:track:7dBs5N3J1I5dPkdYuyyrou
Wild Safari,Barrabas,spotify:track:36ycUqCc7NkKT1hWanjFUx
Back in the Goodle Days,John Hartford,spotify:track:0B6BeEUd6UwFlbsHMQKjob
Mongoose,Elephants Memory,spotify:track:7vY6glCrnLZH3O5IJ7mkYV
Strutter,KISS,spotify:track:2GNat4nfktZONFZ7Cqm5Bq
Wild Is the Wind - 1999 Remaster,David Bowie,spotify:track:7uurJfwCTZ0iqVJlu6kj3k
I Try - Remastered,Angela Bofill,spotify:track:2RVAqALeI5XUWbqIRhIQmx
Walking On The Moon - Remastered 2003,The Police,spotify:track:4Xgr8IWwGSGyqLjwiwOxqk
Pills,New York Dolls,spotify:track:7hYU5eAJFciz5veXsatDqA
Ooh I Love It (Love Break),The Salsoul Orchestra,spotify:track:34amktxLDwvmvk7Tod31ZM
Can't You See,The Marshall Tucker Band,spotify:track:4fUU9WKxEgJXyrZJsUA2iP
Carol,Flamin' Groovies,spotify:track:46OUckDwzWbR1jeFjm0ixd
Distillation,Blue Phantom,spotify:track:6tWCJnDOBJAVCP8enLRBbO
Refugee,Tom Petty and the Heartbreakers,spotify:track:1rwnShbWoys41r6yQ0C4Qf
"Station 2: Ich bin dein SÃ¤nger, Du bist mein Lied",A.R. & Machines,spotify:track:7wJBe6sT9ZsiudxahUyEHX
Got the Love,Average White Band,spotify:track:49xbaoJxUkZTjkvJQX3nPJ
Under Your Spell Again (with Jessi Colter),Waylon Jennings,spotify:track:6nALDc6WA2sOiHgAtOAjSD
Orchid - 2014 Remaster,Black Sabbath,spotify:track:7f5pVscGqWGPmzyAJ3thAI
Moondance - 2013 Remaster,Van Morrison,spotify:track:6KHNMPZTSif1zFbFKErpNU
The Fool and Me - 2007 Remaster,Robin Trower,spotify:track:01qNIJfMc14nxpOoM0Xwb0
Neat Neat Neat,The Damned,spotify:track:7abNwHdN34BP9q4tKfKeMg
Me and Julio Down by the Schoolyard,Paul Simon,spotify:track:6vxHp3CDNo0afgKGp2yi1E
What It Is,Ohio Players,spotify:track:7I9Pkm2bTcpsx3pPvl5C0m
International Feel,Todd Rundgren,spotify:track:06V37EB87B3Nyj5DlBpZck
I Wonder,Growl,spotify:track:6548oUZxnIdfP6JabzaHc1
Shades,Jeronimo,spotify:track:2kerzBpWjQZ95YoRccR7jN
High Flight Tonight,Curly Curve,spotify:track:2aXuSUEL67KovXzZu3sP9v
Pretend I Never Happened,Waylon Jennings,spotify:track:11C0Qn1bkZ2yPhptlsJWlq
Spiralys,Daniela Casa,spotify:track:089QVmTJ2rRWkLtf79Fmm8
Midnight Blue,Dennis Coffey,spotify:track:2NGJPCkt4npuMjcLdruMDM
Hospital,The Modern Lovers,spotify:track:63PJI7dPUXQ4DW1QiGyvaa
Keep It Warm,Flo & Eddie,spotify:track:0LoMT7TGL2p2n1TFx1cNRT
You Can Choose,Keef Hartley Band,spotify:track:0zC8gjfs41xWATDc1BxE2i
